vsl_mult,fatality_rate,shooting_mult,causal_share,vsl,crash_fatality_cost,crash_injury_cost,crash_property_cost,total_crash_cost,adj_shooting_reduction,shooting_benefit,robbery_cost,total_cost,total_benefit,net,bc_ratio
0.7,0.005,0.7,0,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,2118.4020909876413,0,0,114011903.94808495,0,-114011903.94808495,0
0.7,0.005,0.7,0.25,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,2118.4020909876413,463400457.40354645,0,114011903.94808495,463400457.40354645,349388553.4554615,4.064491876344375
0.7,0.005,0.7,0.5,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,2118.4020909876413,926800914.8070929,0,114011903.94808495,926800914.8070929,812789010.859008,8.12898375268875
0.7,0.005,0.7,0.75,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,2118.4020909876413,1390201372.2106395,0,114011903.94808495,1390201372.2106395,1276189468.2625546,12.193475629033125
0.7,0.005,0.7,1,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,2118.4020909876413,1853601829.6141858,0,114011903.94808495,1853601829.6141858,1739589925.666101,16.2579675053775
0.7,0.005,1,0,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3026.2887014109165,0,0,114011903.94808495,0,-114011903.94808495,0
0.7,0.005,1,0.25,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3026.2887014109165,662000653.433638,0,114011903.94808495,662000653.433638,547988749.485553,5.8064169662062515
0.7,0.005,1,0.5,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3026.2887014109165,1324001306.867276,0,114011903.94808495,1324001306.867276,1209989402.919191,11.612833932412503
0.7,0.005,1,0.75,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3026.2887014109165,1986001960.3009138,0,114011903.94808495,1986001960.3009138,1871990056.352829,17.419250898618753
0.7,0.005,1,1,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3026.2887014109165,2648002613.734552,0,114011903.94808495,2648002613.734552,2533990709.786467,23.225667864825006
0.7,0.005,1.3,0,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3934.1753118341917,0,0,114011903.94808495,0,-114011903.94808495,0
0.7,0.005,1.3,0.25,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3934.1753118341917,860600849.4637294,0,114011903.94808495,860600849.4637294,746588945.5156444,7.548342056068127
0.7,0.005,1.3,0.5,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3934.1753118341917,1721201698.9274588,0,114011903.94808495,1721201698.9274588,1607189794.979374,15.096684112136254
0.7,0.005,1.3,0.75,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3934.1753118341917,2581802548.391188,0,114011903.94808495,2581802548.391188,2467790644.4431033,22.64502616820438
0.7,0.005,1.3,1,8750000,29558641.764318325,70940740.23436397,13512521.949402662,114011903.94808495,3934.1753118341917,3442403397.8549175,0,114011903.94808495,3442403397.8549175,3328391493.9068327,30.193368224272508
0.7,0.01,0.7,0,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,2118.4020909876413,0,0,143570545.7124033,0,-143570545.7124033,0
0.7,0.01,0.7,0.25,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,2118.4020909876413,463400457.40354645,0,143570545.7124033,463400457.40354645,319829911.69114316,3.2276847253322973
0.7,0.01,0.7,0.5,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,2118.4020909876413,926800914.8070929,0,143570545.7124033,926800914.8070929,783230369.0946896,6.455369450664595
0.7,0.01,0.7,0.75,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,2118.4020909876413,1390201372.2106395,0,143570545.7124033,1390201372.2106395,1246630826.4982362,9.683054175996892
0.7,0.01,0.7,1,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,2118.4020909876413,1853601829.6141858,0,143570545.7124033,1853601829.6141858,1710031283.9017825,12.91073890132919
0.7,0.01,1,0,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3026.2887014109165,0,0,143570545.7124033,0,-143570545.7124033,0
0.7,0.01,1,0.25,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3026.2887014109165,662000653.433638,0,143570545.7124033,662000653.433638,518430107.7212347,4.61097817904614
0.7,0.01,1,0.5,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3026.2887014109165,1324001306.867276,0,143570545.7124033,1324001306.867276,1180430761.1548727,9.22195635809228
0.7,0.01,1,0.75,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3026.2887014109165,1986001960.3009138,0,143570545.7124033,1986001960.3009138,1842431414.5885105,13.832934537138419
0.7,0.01,1,1,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3026.2887014109165,2648002613.734552,0,143570545.7124033,2648002613.734552,2504432068.0221486,18.44391271618456
0.7,0.01,1.3,0,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3934.1753118341917,0,0,143570545.7124033,0,-143570545.7124033,0
0.7,0.01,1.3,0.25,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3934.1753118341917,860600849.4637294,0,143570545.7124033,860600849.4637294,717030303.7513261,5.9942716327599825
0.7,0.01,1.3,0.5,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3934.1753118341917,1721201698.9274588,0,143570545.7124033,1721201698.9274588,1577631153.2150555,11.988543265519965
0.7,0.01,1.3,0.75,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3934.1753118341917,2581802548.391188,0,143570545.7124033,2581802548.391188,2438232002.678785,17.982814898279948
0.7,0.01,1.3,1,8750000,59117283.52863665,70940740.23436397,13512521.949402662,143570545.7124033,3934.1753118341917,3442403397.8549175,0,143570545.7124033,3442403397.8549175,3298832852.142514,23.97708653103993
0.7,0.015,0.7,0,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,2118.4020909876413,0,0,173129187.4767216,0,-173129187.4767216,0
0.7,0.015,0.7,0.25,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,2118.4020909876413,463400457.40354645,0,173129187.4767216,463400457.40354645,290271269.9268248,2.6766166014950756
0.7,0.015,0.7,0.5,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,2118.4020909876413,926800914.8070929,0,173129187.4767216,926800914.8070929,753671727.3303713,5.353233202990151
0.7,0.015,0.7,0.75,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,2118.4020909876413,1390201372.2106395,0,173129187.4767216,1390201372.2106395,1217072184.733918,8.029849804485227
0.7,0.015,0.7,1,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,2118.4020909876413,1853601829.6141858,0,173129187.4767216,1853601829.6141858,1680472642.1374643,10.706466405980303
0.7,0.015,1,0,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3026.2887014109165,0,0,173129187.4767216,0,-173129187.4767216,0
0.7,0.015,1,0.25,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3026.2887014109165,662000653.433638,0,173129187.4767216,662000653.433638,488871465.95691633,3.8237380021358236
0.7,0.015,1,0.5,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3026.2887014109165,1324001306.867276,0,173129187.4767216,1324001306.867276,1150872119.3905544,7.647476004271647
0.7,0.015,1,0.75,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3026.2887014109165,1986001960.3009138,0,173129187.4767216,1986001960.3009138,1812872772.8241923,11.47121400640747
0.7,0.015,1,1,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3026.2887014109165,2648002613.734552,0,173129187.4767216,2648002613.734552,2474873426.25783,15.294952008543294
0.7,0.015,1.3,0,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3934.1753118341917,0,0,173129187.4767216,0,-173129187.4767216,0
0.7,0.015,1.3,0.25,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3934.1753118341917,860600849.4637294,0,173129187.4767216,860600849.4637294,687471661.9870077,4.970859402776571
0.7,0.015,1.3,0.5,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3934.1753118341917,1721201698.9274588,0,173129187.4767216,1721201698.9274588,1548072511.4507372,9.941718805553142
0.7,0.015,1.3,0.75,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3934.1753118341917,2581802548.391188,0,173129187.4767216,2581802548.391188,2408673360.9144664,14.912578208329712
0.7,0.015,1.3,1,8750000,88675925.29295497,70940740.23436397,13512521.949402662,173129187.4767216,3934.1753118341917,3442403397.8549175,0,173129187.4767216,3442403397.8549175,3269274210.378196,19.883437611106284
1,0.005,0.7,0,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,2118.4020909876413,0,0,126679893.27564996,0,-126679893.27564996,0
1,0.005,0.7,0.25,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,2118.4020909876413,662000653.4336379,0,126679893.27564996,662000653.4336379,535320760.1579879,5.2257752695856245
1,0.005,0.7,0.5,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,2118.4020909876413,1324001306.8672757,0,126679893.27564996,1324001306.8672757,1197321413.5916257,10.451550539171249
