vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
0.7,0.5,0.7,0.7,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,0.7,0.7,its_estimate,122525685.51980199,1045993421.0526314,923467735.5328294,8.536931800178202
0.7,0.5,0.7,0.7,generous,122525685.51980199,2091986842.1052628,1969461156.5854607,17.073863600356404
0.7,0.5,0.7,1,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,0.7,1,its_estimate,122525685.51980199,1045993421.0526314,923467735.5328294,8.536931800178202
0.7,0.5,0.7,1,generous,122525685.51980199,2091986842.1052628,1969461156.5854607,17.073863600356404
0.7,0.5,0.7,1.3,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,0.7,1.3,its_estimate,122525685.51980199,1045993421.0526314,923467735.5328294,8.536931800178202
0.7,0.5,0.7,1.3,generous,122525685.51980199,2091986842.1052628,1969461156.5854607,17.073863600356404
0.7,0.5,1,0.7,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,1,0.7,its_estimate,122525685.51980199,1494276315.7894735,1371750630.2696714,12.195616857397432
0.7,0.5,1,0.7,generous,122525685.51980199,2988552631.578947,2866026946.059145,24.391233714794865
0.7,0.5,1,1,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,1,1,its_estimate,122525685.51980199,1494276315.7894735,1371750630.2696714,12.195616857397432
0.7,0.5,1,1,generous,122525685.51980199,2988552631.578947,2866026946.059145,24.391233714794865
0.7,0.5,1,1.3,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,1,1.3,its_estimate,122525685.51980199,1494276315.7894735,1371750630.2696714,12.195616857397432
0.7,0.5,1,1.3,generous,122525685.51980199,2988552631.578947,2866026946.059145,24.391233714794865
0.7,0.5,1.3,0.7,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,1.3,0.7,its_estimate,122525685.51980199,1942559210.5263157,1820033525.0065136,15.854301914616663
0.7,0.5,1.3,0.7,generous,122525685.51980199,3885118421.0526314,3762592735.5328293,31.708603829233326
0.7,0.5,1.3,1,none,122525685.51980199,0,-122525685.51980199,0
0.7,0.5,1.3,1,its_estimate,122525685.51980199,1942559210.5263157,1820033525.0065136,15.854301914616663
0.7,0.5,1.3,1,generous,122525685.51980199,3885118421.0526314,3762592735.5328293,31.708603829233326
0.7,0.5,1.3,1.3,none,122525685.51980199,0,-122525685.51980199,0
