term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,event_year
year_fct::2015:nyc,-14.832254878280182,2.1988177153303674,-6.74555911336728,8.436249453876658e-9,-19.235311404506408,-10.429198352053955,Robbery,2015
year_fct::2016:nyc,-31.051043794435863,2.3148717083866557,-13.413721236446754,2.788848138378626e-19,-35.686494433170104,-26.41559315570162,Robbery,2016
year_fct::2017:nyc,-47.6378815613503,1.6602777135535947,-28.69271879786184,1.4354133986634223e-35,-50.96253033557202,-44.31323278712858,Robbery,2017
year_fct::2018:nyc,-56.338654031774475,1.4066510581585094,-40.05162026858968,1.9513353200509456e-43,-59.15542418901204,-53.52188387453691,Robbery,2018
year_fct::2019:nyc,-48.31792162182547,1.4182158590417138,-34.06951157243003,1.3688641185900285e-39,-51.15784989337522,-45.47799335027572,Robbery,2019
year_fct::2020:nyc,-50.183248167576295,1.213659208806636,-41.348714534881964,3.366310085107212e-44,-52.61355881256203,-47.75293752259056,Robbery,2020
year_fct::2021:nyc,-40.04815486617545,1.1220922110347649,-35.690609445763876,1.0872045721505653e-40,-42.295105760912044,-37.80120397143886,Robbery,2021
year_fct::2023:nyc,-8.364400315282126,0.8356962204161585,-10.008900496303353,3.639766381212478e-14,-10.037853131125527,-6.690947499438725,Robbery,2023
year_fct::2024:nyc,-8.169674362805331,1.0645061070859685,-7.674614836329498,2.3894976863245217e-10,-10.301311073449316,-6.0380376521613455,Robbery,2024
year_fct::2015:nyc,-128.8432223288135,7.443239713444788,-17.310099807222773,2.3036468547358424e-24,-143.7480527602098,-113.93839189741723,Violent Crime,2015
year_fct::2016:nyc,-147.18029104136411,7.390723586668181,-19.914192340633132,2.3885821137666072e-27,-161.9799597428345,-132.38062233989373,Violent Crime,2016
year_fct::2017:nyc,-179.02712498875928,7.154236448622852,-25.023931802424695,1.987095251729502e-32,-193.3532363647273,-164.70101361279126,Violent Crime,2017
year_fct::2018:nyc,-166.6496393686155,7.280247937463597,-22.89065438431695,2.03011063491958e-30,-181.22808439846096,-152.07119433877006,Violent Crime,2018
year_fct::2019:nyc,-145.72297919954855,5.390236090613222,-27.034619031495954,3.3986101167010586e-34,-156.51674078842532,-134.92921761067177,Violent Crime,2019
year_fct::2020:nyc,-147.81435654035118,5.150192177768484,-28.700745804867687,1.4141429020403435e-35,-158.1274384850433,-137.50127459565905,Violent Crime,2020
year_fct::2021:nyc,-90.84915719281389,4.992604411114028,-18.19674656990142,2.0520166923928495e-25,-100.84667507797366,-80.85163930765412,Violent Crime,2021
year_fct::2023:nyc,-47.76071927637686,7.014361009892186,-6.808990756110365,6.617077682838292e-9,-61.80673491768355,-33.71470363507017,Violent Crime,2023
year_fct::2024:nyc,-13.704610421494579,7.478529106974904,-1.832527523188066,0.07209807202422487,-28.680106644514243,1.2708858015250861,Violent Crime,2024
year_fct::2015:nyc,-51.494654778203895,5.0503964498630705,-10.196160893388884,1.83617499592419e-14,-61.60789922478062,-41.38141033162717,Motor Vehicle Theft,2015
year_fct::2016:nyc,-64.99790549930351,5.033240257024658,-12.913729959262124,1.434989715821041e-18,-75.07679526230838,-54.91901573629865,Motor Vehicle Theft,2016
year_fct::2017:nyc,-72.0247324751419,5.237941906790364,-13.75057871141535,9.418014073153027e-20,-82.51353022126249,-61.53593472902132,Motor Vehicle Theft,2017
year_fct::2018:nyc,-74.19422690530601,4.874650600850735,-15.220419468086074,9.759714402775805e-22,-83.95554635962176,-64.43290745099026,Motor Vehicle Theft,2018
year_fct::2019:nyc,-72.44459866921252,5.070518956054975,-14.287413043334075,1.720076097726836e-20,-82.59813773939291,-62.291059599032145,Motor Vehicle Theft,2019
year_fct::2020:nyc,-45.093706376212964,3.6091799030806775,-12.494169752447768,5.815597025276242e-18,-52.320964468499284,-37.866448283926644,Motor Vehicle Theft,2020
year_fct::2021:nyc,-36.51322775403453,3.339340311942544,-10.93426375965684,1.2865964814675967e-15,-43.20014138551753,-29.82631412255153,Motor Vehicle Theft,2021
year_fct::2023:nyc,35.087308823582305,12.747089083305422,2.7525742225756757,0.007916665776530675,9.561703227757732,60.61291441940688,Motor Vehicle Theft,2023
year_fct::2024:nyc,36.28172260084719,6.967142417635951,5.207547144293641,2.732771274713016e-6,22.330260559569957,50.23318464212442,Motor Vehicle Theft,2024
