time_unit,real_y,synth_y,dropped,gap
2002,321.1697187756839,156.34096281911417,Erie,164.82875595656975
2003,306.5437519285045,186.9178360339643,Erie,119.62591589454019
2004,287.48281448895455,146.90200949186845,Erie,140.5808049970861
2005,291.59931644836234,163.65283408054881,Erie,127.94648236781353
2006,277.31540850325405,206.46046930977738,Erie,70.85493919347667
2007,256.980596531853,160.19631353680185,Erie,96.78428299505114
2008,261.6868552189696,166.7105219861596,Erie,94.97633323280999
2009,219.35411730402853,133.07594908803284,Erie,86.27816821599569
2010,231.27899833830142,127.62528942042063,Erie,103.65370891788079
2011,233.2251955397406,128.55588232607687,Erie,104.66931321366374
2012,238.27351312892836,134.13948540557988,Erie,104.13402772334848
2013,226.11272940357193,150.624410273924,Erie,75.48831912964792
2014,195.57512604280782,115.12863684577425,Erie,80.44648919703357
2015,199.88035015508243,110.47563282898409,Erie,89.40471732609834
2016,183.34357151012637,113.26743369870373,Erie,70.07613781142264
2017,165.0729080857063,120.04752176008124,Erie,45.025386325625064
2018,152.8885340912415,90.66712632985201,Erie,62.221407761389486
2019,158.0076224877543,75.11279936398743,Erie,82.89482312376687
2020,155.48346369316042,72.58687716461384,Erie,82.89658652854658
2021,164.05852651404706,75.9104480048506,Erie,88.14807850919647
2022,205.6245806829666,86.0141198975714,Erie,119.6104607853952
2023,196.04693142497493,77.90459931602875,Erie,118.14233210894618
2024,195.25665740984508,73.38453557283513,Erie,121.87212183700994
