unit_name,type,pre_mspe,post_mspe,mspe_ratio,rank,fishers_exact_pvalue,z_score
Cattaraugus,Donor,698.2022652077304,17.585891276494596,0.02518738788574742,41,1,-0.9014836935039131
Washington,Donor,1952.385297771956,65.63133672207077,0.03361597569750635,40,0.975609756097561,-0.8974431649848338
Oswego,Donor,426.24342136984114,25.000801189443745,0.05865381126375474,39,0.9512195121951219,-0.8854404320334959
Madison,Donor,1070.9485479092796,144.0750945179819,0.13453036077153033,38,0.926829268292683,-0.8490664428122195
Oneida,Donor,394.9406324649595,55.74102718704921,0.1411377371812832,37,0.9024390243902439,-0.845898973549735
Clinton,Donor,2171.112854381935,332.0399460203187,0.1529353692278897,36,0.8780487804878049,-0.8402433797769071
Livingston,Donor,408.5478996025125,86.6039609891448,0.21197994426945818,35,0.8536585365853658,-0.8119383665670383
Warren,Donor,798.4663407446179,223.6954595451384,0.2801564050107972,34,0.8292682926829268,-0.7792556752185591
Genesee,Donor,1096.1973973132012,310.7656539618482,0.2834942454010019,33,0.8048780487804879,-0.7776555685826715
Cayuga,Donor,1710.4060985058916,557.3165385555697,0.3258387227702287,32,0.7804878048780488,-0.7573563117846144
St Lawrence,Donor,619.0291837748529,228.1329381931701,0.36853341356543273,31,0.7560975609756098,-0.7368891683408902
Wayne,Donor,566.9774817965774,349.7100668311631,0.6167971005180652,30,0.7317073170731707,-0.6178755767657494
Sullivan,Donor,968.8559934586685,625.3688703039181,0.6454714369588058,29,0.7073170731707317,-0.6041295641783444
Putnam,Donor,2341.5281428846406,1711.0476438359403,0.7307397303916316,28,0.6829268292682927,-0.5632533249929503
Schenectady,Donor,1539.4364742195953,1139.920054919508,0.7404787881860349,27,0.6585365853658537,-0.5585845783836609
Fulton,Donor,2306.4963024385943,1856.662193603804,0.8049708085986554,26,0.6341463414634146,-0.5276681480693569
Broome,Donor,2425.468868616243,2285.254203241518,0.9421906967395055,25,0.6097560975609756,-0.46188715559461957
Ontario,Donor,522.5458665043946,548.7720358445941,1.0501892197820668,24,0.5853658536585366,-0.41011441238808627
Herkimer,Donor,970.1820786868775,1036.901634608393,1.068770138500001,23,0.5609756097560976,-0.4012070208217593
Jefferson,Donor,849.3050117435372,918.2435880494671,1.0811705751793528,22,0.5365853658536586,-0.39526245226876205
Suffolk,Donor,209.29359888221683,252.36369624482992,1.2057879342351576,21,0.5121951219512195,-0.3355229081739789
Ulster,Donor,619.9975747721217,778.7802345676052,1.2561020659699254,20,0.4878048780487805,-0.3114031281197901
Columbia,Donor,1392.6519613632222,1782.1025944922487,1.2796467774675058,19,0.4634146341463415,-0.3001161746699197
Dutchess,Donor,514.180438024845,786.2281045574164,1.5290898805438922,18,0.43902439024390244,-0.18053719010246277
Monroe,Donor,335.220229450725,542.7279752008852,1.619019162686488,17,0.4146341463414634,-0.13742654840154195
Steuben,Donor,1145.8878528448997,2237.1908163129856,1.952364544888668,16,0.3902439024390244,0.02237383021137539
Chemung,Donor,1628.5402577444363,3551.369372608233,2.1807071429274685,15,0.36585365853658536,0.13183757432865897
Chautauqua,Donor,428.2845529905247,969.51023561555,2.263705820921819,14,0.34146341463414637,0.17162579662304916
Erie,Donor,1588.515934567316,3740.829083036469,2.3549207166470167,13,0.3170731707317073,0.21535274065848115
Orange,Donor,372.1762445964082,915.8490106672506,2.4607938415317365,12,0.2926829268292683,0.266106602403143
Rockland,Donor,191.1735080230132,489.9104616415741,2.5626482806529833,11,0.2682926829268293,0.31493397126439715
Tompkins,Donor,231.17406073249805,593.3957087999044,2.566878424506932,10,0.24390243902439024,0.3169618337323946
Saratoga,Donor,173.30900399628604,518.7447964939095,2.993178568523918,9,0.21951219512195122,0.5213232200117396
Otsego,Donor,1078.0090886241971,3279.498442934636,3.0421806991628215,8,0.1951219512195122,0.5448140479848328
NYC,Treated,34733.60267473436,121019.34240405733,3.484215085240445,7,0.17073170731707318,0.7567181751351227
Albany,Donor,1241.742696004265,4432.278474495066,3.569401687448977,6,0.14634146341463414,0.7975552528703557
Rensselaer,Donor,449.41629388567407,1980.5013047696668,4.406830218918324,5,0.12195121951219512,1.199004930996978
Nassau,Donor,295.6661446532872,1387.493914942236,4.692772371924017,4,0.0975609756097561,1.33608096909847
Onondaga,Donor,545.9200789468988,3083.7125473779656,5.6486520029205884,3,0.07317073170731707,1.7943141863475465
Niagara,Donor,754.7976567500693,6274.418604374709,8.312716061401753,2,0.04878048780487805,3.0714233587678486
Westchester,Donor,178.42326405293582,1615.611717239255,9.054938692075067,1,0.024390243902439025,3.4272328696514687
