time_unit,real_y,synth_y,gap
2002,753.0013899386558,487.5856046324971,265.41578530615874
2003,701.1971589767107,509.4664544514054,191.73070452530533
2004,656.8474530530054,496.00129687378535,160.8461561792201
2005,644.285634752807,527.7706348709143,116.51499988189278
2006,614.3613783888601,527.5602523945975,86.80112599426263
2007,595.0999236618892,477.69713921323535,117.40278444865385
2008,571.2383664587892,498.10524585147533,73.13312060731386
2009,546.7870525279804,517.0405850719338,29.746467456046616
2010,571.9342793974857,476.3295777610767,95.60470163640906
2011,604.0170453848469,441.93034139132993,162.086703993517
2012,625.0595654294985,444.6654534781075,180.39411195139104
2013,617.8763284860048,430.14832976534996,187.72799872065485
2014,583.1986328967247,413.63248773284255,169.56614516388214
2015,590.7946995496145,398.4842315679428,192.3104679816717
2016,579.4241898393881,398.9050220812488,180.5191677581393
2017,547.6834827540978,364.29540576432737,183.3880769897704
2018,543.9090396967612,371.23834814781446,172.6706915489467
2019,564.0551295152954,356.40565370832013,207.64947580697532
2020,565.6828580837719,388.280175839309,177.40268224446288
2021,629.4355603490983,367.55648807343323,261.87907227566507
2022,722.9591822291671,339.46904005287973,383.4901421762874
2023,660.5983058412337,329.0545801114959,331.5437257297378
2024,685.486039750547,322.00640794518836,363.4796318053586
