term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,nw_se,nw_pvalue
T,0.1823755319234528,0.12605618201331237,1.4467797533657867,0.15207064344151566,-0.06868711306884384,0.43343817691574943,Pursuit Broadcasts,0.04749199250975195,2.5288710707874185e-4
D_esc,22.397473329860663,10.542106805159083,2.1245727959139833,0.03687371125285315,1.4010479580766955,43.39389870164463,Pursuit Broadcasts,8.678697691871927,0.011785700152708252
P_esc,11.29212093002428,1.7997144537073002,6.274395866946121,1.9727587998177136e-8,7.70767894739384,14.87656291265472,Pursuit Broadcasts,1.3620490813443704,3.0562792618944327e-12
D_mad,34.289678254005054,13.201552573213268,2.597397394271704,0.011274243689176606,7.996507589152152,60.582848918857955,Pursuit Broadcasts,14.844558555321019,0.02360917771363413
P_mad,-14.419464967165206,1.9259345830552204,-7.486996232390605,1.0498780675733765e-10,-18.255296124203706,-10.583633810126706,Pursuit Broadcasts,1.9445856065101608,1.4378111246328757e-10
D_tisch,-90.17732401222841,11.98993510083612,-7.521085248071099,9.041808214169144e-11,-114.05734934398085,-66.29729868047598,Pursuit Broadcasts,9.810349965520121,5.728380244554601e-14
P_tisch,1.782197403467198,1.6975513480342992,1.0498636200495,0.2971078468300757,-1.5987691198780922,5.163163926812488,Pursuit Broadcasts,1.794777776105704,0.3238656082690825
covid,0.13143142480669673,4.646701217561192,0.028284888279448733,0.9775090757391145,-9.123276115412441,9.386138965025836,Pursuit Broadcasts,1.4556711103239468,0.928294912895596
T,0.0034493042617047263,0.03805461974169147,0.09064088105775434,0.9280164149005987,-0.07234303954826528,0.07924164807167473,Pursuit Collisions,0.020242020810982815,0.8651459123095602
D_esc,3.8981215559656572,3.1825163933987786,1.2248551379189114,0.22441264645779055,-2.4404091745118137,10.236652286443128,Pursuit Collisions,1.8655842519615127,0.040009884895149575
P_esc,1.576194654943481,0.5433089284920956,2.901102066034633,0.004861459282407954,0.4941011434903828,2.6582881663965794,Pursuit Collisions,0.2840826140203126,4.0271300997041075e-7
D_mad,17.05095092484748,3.985366327535803,4.278389870220607,5.420800445395031e-5,9.113405970894275,24.988495878800684,Pursuit Collisions,3.9770179130871566,5.247482099683175e-5
