term,estimate,se,t_stat,p_value,outcome
T,0.1823755319234528,0.04749199250975195,3.8401322472626096,2.5288710707874185e-4,Pursuit Broadcasts
D_esc,22.397473329860663,8.678697691871927,2.5807412730641737,0.011785700152708252,Pursuit Broadcasts
P_esc,11.29212093002428,1.3620490813443704,8.290538927480297,3.0562792618944327e-12,Pursuit Broadcasts
D_mad,34.289678254005054,14.844558555321019,2.3099156587390706,0.02360917771363413,Pursuit Broadcasts
P_mad,-14.419464967165206,1.9445856065101608,-7.415186515261221,1.4378111246328757e-10,Pursuit Broadcasts
D_tisch,-90.17732401222841,9.810349965520121,-9.192059847933,5.728380244554601e-14,Pursuit Broadcasts
P_tisch,1.782197403467198,1.794777776105704,0.9929905680770112,0.3238656082690825,Pursuit Broadcasts
covid,0.13143142480669673,1.4556711103239468,0.09028923077098633,0.928294912895596,Pursuit Broadcasts
T,0.0034493042617047263,0.020242020810982815,0.17040315756583058,0.8651459123095602,Pursuit Collisions
D_esc,3.8981215559656572,1.8655842519615127,2.089491027739484,0.040009884895149575,Pursuit Collisions
P_esc,1.576194654943481,0.2840826140203126,5.548367190224388,4.0271300997041075e-7,Pursuit Collisions
D_mad,17.05095092484748,3.9770179130871566,4.287370913954898,5.247482099683175e-5,Pursuit Collisions
P_mad,-2.4901889854491905,0.47268595012967624,-5.2681679765731015,1.2448597640884991e-6,Pursuit Collisions
D_tisch,-15.178347861499573,4.593321222176088,-3.3044385810032297,0.0014535276794083267,Pursuit Collisions
P_tisch,0.36673623713597414,0.3135681838216885,1.169558188800557,0.24583373380209153,Pursuit Collisions
covid,-0.37683441216085967,0.619535973805723,-0.6082526731192355,0.5448334614793582,Pursuit Collisions
T,7.907459945606826,1.2209011247174981,6.476740651243579,8.349710661719334e-9,Robberies
D_esc,-80.3495471233103,43.52877979316313,-1.845894773644228,0.06880170833552791,Robberies
P_esc,-7.966245169846394,6.324461678612258,-1.25959260640099,0.21167088697413997,Robberies
D_mad,123.49104418750477,63.853210382620354,1.9339833259365251,0.05683824591623046,Robberies
P_mad,-14.4034431070419,6.147677629390333,-2.3429080012561254,0.02175229956595135,Robberies
D_tisch,81.26566354398396,59.088296630261034,1.3753258797168504,0.17307094124923328,Robberies
P_tisch,1.1245003803889755,13.765532856132092,0.08168956422838711,0.93510833187772,Robberies
covid,-236.2652058163025,38.424654507824826,-6.148791936910956,3.351488413221755e-8,Robberies
T,1.2983876281137197,0.20291721381084715,6.398607608145234,1.1647153778779346e-8,Shooting Incidents
D_esc,-30.297556036081918,10.343228684336005,-2.929216491361653,0.0044836813442831166,Shooting Incidents
P_esc,-2.821283387343429,1.2608616369734975,-2.237583652807045,0.028178077250177125,Shooting Incidents
D_mad,-4.476568853328429,7.081156905199292,-0.6321804350983294,0.5291662411843336,Shooting Incidents
P_mad,1.360757156057633,1.5011327591670185,0.9064868831539722,0.36754330326583096,Shooting Incidents
D_tisch,-3.410401975592264,7.770826696811271,-0.43887247890777303,0.6619991096563127,Shooting Incidents
P_tisch,-2.3942956127905712,1.2481963411993724,-1.9182043191137141,0.05884141252622342,Shooting Incidents
covid,40.542687547617966,11.30073264739583,3.5876158486910783,5.880485303922277e-4,Shooting Incidents
T,5.076000901906856,0.6917751036702091,7.337646115010732,2.01824128425683e-10,Gun Violence (Shootings + Shots Fired)
D_esc,-105.30149280798685,34.56641828941433,-3.046352443181379,0.0031837131261626198,Gun Violence (Shootings + Shots Fired)
P_esc,-12.800577964398181,4.906797992065009,-2.608743621624232,0.01093743585990487,Gun Violence (Shootings + Shots Fired)
D_mad,2.0234088325469766,25.44974353243772,0.07950605985352982,0.9368390900567904,Gun Violence (Shootings + Shots Fired)
P_mad,7.954370524155287,5.482663233142427,1.450822380640035,0.15094437252814946,Gun Violence (Shootings + Shots Fired)
D_tisch,20.730969501783232,18.543289346351695,1.1179769195513283,0.26709836943561455,Gun Violence (Shootings + Shots Fired)
P_tisch,-11.511510316869039,3.1612445949794448,-3.64144879366536,4.926218397462756e-4,Gun Violence (Shootings + Shots Fired)
covid,106.69962267226765,29.85018560240826,3.5745044970058517,6.138173344417312e-4,Gun Violence (Shootings + Shots Fired)
