outcome,spec,term,estimate,std_err,t_stat,p_value,n_obs,n_pcts
Shootings,shift_share,post:pre_pursuit_dm,-1.5053594237538572,0.2532140509049742,-5.945007468478858,7.865614021649739e-8,7392,77
Robberies,shift_share,post:pre_pursuit_dm,-0.41530891290387073,3.7497651195612276,-0.11075598061791865,0.9121018190046918,7392,77
Collisions,shift_share,post:pre_pursuit_dm,0.7142436911055295,0.15526840732856032,4.600058076168277,1.6567210769527268e-5,7392,77
Shootings,continuous,pursuit_events,-0.02413462220550721,0.010678674318826317,-2.260076624207772,0.026680353676513596,7392,77
Robberies,continuous,pursuit_events,0.3299738991276053,0.13919469783263,2.370592445441933,0.020295400356824256,7392,77
Collisions,continuous,pursuit_events,0.08928069168015869,0.014066158661755968,6.3471978261485935,1.4490513219584346e-8,7392,77
Shootings,continuous_precinct_trend,pursuit_events,-0.02225362575138055,0.009831650297292499,-2.263467991483474,0.02646072516577366,7392,77
Robberies,continuous_precinct_trend,pursuit_events,0.21456399635098275,0.09046585768611848,2.371767668366521,0.020235521244547926,7392,77
Collisions,continuous_precinct_trend,pursuit_events,0.08108259717475942,0.014337190213818086,5.655403601788903,2.60178844830212e-7,7392,77
Shootings,continuous_precinct_year_fe,pursuit_events,-0.015588035478882784,0.013350087369085285,-1.167635465441215,0.24660402254844951,7392,77
Robberies,continuous_precinct_year_fe,pursuit_events,0.08713305472527391,0.0827939455730071,1.0524085320760637,0.29594678796098917,7392,77
Collisions,continuous_precinct_year_fe,pursuit_events,0.054837264638902136,0.017322448431524418,3.165676310463481,0.002226722569184978,7392,77
