time_index,rel_time,att,Y_actual,Y_counter,ci_lower,ci_upper,date
1,-104,5.8970356823549395,7.181423954285927,1.2843882719309878,-21.394910846477032,33.18898221118691,2014-01-01
2,-103,5.256103531467694,2.8705122680312125,-2.3855912634364818,-19.504449828494618,30.016656891430006,2014-02-01
3,-102,4.839051084244204,5.880338693166436,1.0412876089222323,-23.695154062512945,33.37325623100135,2014-03-01
4,-101,4.21594040759088,5.732812937238955,1.516872529648075,-21.251581939404993,29.68346275458675,2014-04-01
5,-100,3.5658277592717518,7.160895780322813,3.595068021051061,-21.24078284448229,28.372438363025793,2014-05-01
6,-99,5.636160208873356,9.731863313117454,4.095703104244098,-21.411766087541338,32.68408650528805,2014-06-01
7,-98,-3.595339535373352,5.577526667251433,9.172866202624785,-33.50877156115571,26.31809249040901,2014-07-01
8,-97,2.7156470879603347,9.43216014092981,6.716513052969475,-25.303488441998425,30.734782617919095,2014-08-01
9,-96,1.1219851738515842,6.426435403851482,5.3044502299998975,-24.726282492426197,26.970252840129366,2014-09-01
10,-95,4.5195893973208445,7.42081579263767,2.901226395316826,-20.27954874692535,29.318727541567036,2014-10-01
11,-94,3.599629518407502,7.13032220618824,3.5306926877807383,-18.289605744235516,25.488864781050523,2014-11-01
12,-93,2.8615518303322407,8.692807236405763,5.831255406073522,-29.18760675845433,34.91071041911881,2014-12-01
13,-92,2.647341055229834,7.832207532613728,5.184866477383894,-30.554788986954332,35.849471097413996,2015-01-01
14,-91,7.8319312412892295,4.697688334002793,-3.1342429072864366,-16.48790151075707,32.15176399333553,2015-02-01
15,-90,2.1993718222801384,6.403709028269174,4.204337205989035,-27.025633173469192,31.42437681802947,2015-03-01
16,-89,4.497531699573166,9.104329571040266,4.6067978714671,-29.22500161245106,38.22006501159739,2015-04-01
17,-88,4.702880052738411,13.225127457758397,8.522247405019986,-26.961797287501682,36.367557392978505,2015-05-01
18,-87,2.889582132594807,9.66662350645632,6.777041373861513,-26.249171631509654,32.02833589669927,2015-06-01
19,-86,1.9339183850358204,11.936972783702053,10.003054398666233,-24.500821192414485,28.368657962486125,2015-07-01
20,-85,8.245418073938193,17.188950724652777,8.943532650714584,-28.386652508522726,44.87748865639911,2015-08-01
21,-84,1.341030524482509,9.798559138446304,8.457528613963795,-26.719256478946846,29.401317527911864,2015-09-01
22,-83,3.751942781391911,8.659486627303856,4.907543845911945,-22.776088115544994,30.279973678328815,2015-10-01
23,-82,1.8005365070396877,7.805024804014053,6.004488296974365,-26.714941737810513,30.316014751889888,2015-11-01
24,-81,-1.063774385059812,9.788360976783853,10.852135361843665,-45.20490574942285,43.07735697930322,2015-12-01
25,-80,-0.46820709838272023,5.530632911212898,5.998840009595618,-24.78021176943195,23.84379757266651,2016-01-01
26,-79,4.976731394187787,7.0837106885048025,2.106979294317015,-17.809999233738402,27.763462022113977,2016-02-01
27,-78,0.41273123478623575,6.2276540156042834,5.814922780818048,-22.34381238886627,23.16927485843874,2016-03-01
28,-77,-3.486577948821221,7.9184689923005855,11.405046941121807,-32.1003707418608,25.12721484421836,2016-04-01
29,-76,-0.6864262042568932,8.758438384562545,9.444864588819438,-30.213307619825542,28.840455211311756,2016-05-01
30,-75,-8.245554637656015,10.86695611502085,19.112510752676865,-50.67095150896364,34.17984223365161,2016-06-01
31,-74,-6.33275496916821,9.164592198558644,15.497347167726854,-39.229610116525635,26.56410017818921,2016-07-01
32,-73,-2.1691486419698585,9.578373160271536,11.747521802241394,-34.78488734975009,30.44659006581038,2016-08-01
33,-72,-2.678286880509628,5.7696583517915485,8.447945232301176,-28.96664651522649,23.610072754207234,2016-09-01
34,-71,-1.9346021637384077,6.045308887166419,7.9799110509048266,-29.858405382706458,25.989201055229643,2016-10-01
35,-70,-2.0900725611157966,6.0395237671646544,8.129596328280451,-30.41537633893765,26.235231216706058,2016-11-01
36,-69,-2.1079834465469816,6.033749708836497,8.141733155383479,-26.551315260892533,22.33534836779857,2016-12-01
37,-68,-4.027226217497102,5.046686523197469,9.07391274069457,-29.254639161525056,21.200186726530852,2017-01-01
38,-67,-0.5666206084274421,3.2279285996228237,3.794549208050266,-29.088837601344206,27.955596384489322,2017-02-01
39,-66,-1.845965517405876,4.636633691536703,6.482599208942579,-27.94918242866275,24.257251393850996,2017-03-01
