outcome,term,estimate,nw_se,statistic,nw_pvalue,conf.low,conf.high,term_label
Pursuit Broadcasts,T,-2.971675728191622,1.462273248247064,-2.03223011277406,0.061553531692619214,-5.8377312947558675,-0.10562016162737686,Pre-trend (T)
Pursuit Broadcasts,D,-99.29880612073313,13.78653575118406,-7.202593016320639,4.5464943861871055e-6,-126.32041619305389,-72.27719604841238,Level shift (D)
Pursuit Broadcasts,P,3.5221456196401606,2.046332188431809,1.7211993436604887,0.10722734116492459,-0.4886654696861843,7.5329567089665055,Slope change (P)
Pursuit Collisions,T,-0.8690235973319892,0.3208940790795288,-2.7081322280072815,0.01698394885339536,-1.4979759923278657,-0.24007120233611268,Pre-trend (T)
Pursuit Collisions,D,-18.947200269043215,5.177223552218244,-3.659722258067272,0.0025747637006737676,-29.094558431390972,-8.799842106695456,Level shift (D)
Pursuit Collisions,P,0.8075668404237442,0.38896385710701253,2.0762002064411984,0.05677475669958333,0.04519768049399964,1.5699360003534886,Slope change (P)
Robberies,T,-14.401687125161141,3.984365357022332,-3.614549830320799,0.002816011797958176,-22.21104322492491,-6.59233102539737,Pre-trend (T)
Robberies,D,30.758365562468466,46.373386039450665,0.6632762493621185,0.5179267633432096,-60.13347107485484,121.65020219979178,Level shift (D)
Robberies,P,7.968555574239099,8.58788474254044,0.9278833860876743,0.36918970371246984,-8.863698521140163,24.80080966961836,Slope change (P)
Shooting Incidents,T,-0.1484455280907271,0.23466480643402987,-0.6325853899717973,0.5371999799571978,-0.6083885487014257,0.3114974925199714,Pre-trend (T)
Shooting Incidents,D,-9.338826298974269,3.630884670259789,-2.5720525841725723,0.0221487852503985,-16.455360252683455,-2.222292345265082,Level shift (D)
Shooting Incidents,P,-1.310341348579115,0.40206747152042566,-3.259008602770164,0.005709453279384674,-2.0983935927591495,-0.5222891043990808,Slope change (P)
Gun Violence (Shootings + Shots Fired),T,-0.07158137623077465,0.7649764478989378,-0.0935733072925029,0.9267740792216868,-1.5709352141126927,1.4277724616511434,Pre-trend (T)
Gun Violence (Shootings + Shots Fired),D,17.71969060030265,12.257728823294789,1.4455932951158013,0.17030362507119548,-6.305457893355136,41.74483909396044,Level shift (D)
Gun Violence (Shootings + Shots Fired),P,-9.898133512695479,1.8765948168302933,-5.274518198560387,1.1748493624537622e-4,-13.576259353682854,-6.220007671708103,Slope change (P)
