place_name,state_abr,id,year,treated,crime_count,population_est,n_months,shooting_rate
Albuquerque,NM,3502000,2018,0,94,559280.8333333334,12,16.807298658843127
Albuquerque,NM,3502000,2019,0,121,559865.75,12,21.612324025893706
Albuquerque,NM,3502000,2020,0,115,561312.75,12,20.48768712273149
Albuquerque,NM,3502000,2021,0,145,562757.25,12,25.765994129795754
Albuquerque,NM,3502000,2022,0,169,564120.75,12,29.958125099989676
Albuquerque,NM,3502000,2023,0,160,565144,12,28.311368429993063
Albuquerque,NM,3502000,2024,0,164,565144,12,29.01915264074289
Albuquerque,NM,3502000,2025,0,102,565144,9,18.04849737412058
Anaheim,CA,602000,2018,0,4,349803.6666666667,12,1.1434985911144442
Anaheim,CA,602000,2019,0,8,351394.4166666667,12,2.2766440274971167
Anaheim,CA,602000,2020,0,19,350847.8333333333,12,5.415453138041326
Anaheim,CA,602000,2021,0,23,350256.8333333333,12,6.566609930522413
Anaheim,CA,602000,2022,0,4,350445.8333333333,12,1.1414032125744586
Anaheim,CA,602000,2023,0,8,347802,12,2.3001592860305577
Anaheim,CA,602000,2024,0,9,347802,12,2.5876791967843773
Anaheim,CA,602000,2025,0,7,347802,9,2.0126393752767378
Anchorage,AK,203000,2018,0,63,294929.0833333333,12,21.36106730742334
Anchorage,AK,203000,2019,0,45,292870.5833333333,12,15.365148485665028
Anchorage,AK,203000,2020,0,39,292298.5833333333,12,13.342521046544016
Anchorage,AK,203000,2021,0,35,291034.75,12,12.02605530782836
Anchorage,AK,203000,2022,0,38,289458.5833333333,12,13.127957569059246
Anchorage,AK,203000,2023,0,40,289705,12,13.807148651214167
Anchorage,AK,203000,2024,0,53,289705,12,18.29447196285877
Anchorage,AK,203000,2025,0,22,289705,9,7.59393175816779
Arlington,TX,4804000,2018,0,10,393843.8333333333,12,2.5390774600592536
Arlington,TX,4804000,2019,0,34,396298.3333333333,12,8.57939515264174
Arlington,TX,4804000,2020,0,50,394993.3333333333,12,12.658441492683421
Arlington,TX,4804000,2021,0,42,395514.6666666667,12,10.61907523024852
Arlington,TX,4804000,2022,0,38,397033.3333333333,12,9.570984803962723
Arlington,TX,4804000,2023,0,27,394344,12,6.846813949242286
Arlington,TX,4804000,2024,0,32,394344,12,8.114742458361228
Arlington,TX,4804000,2025,0,17,394344,9,4.3109569310044025
Atlanta,GA,1304000,2018,0,191,483846.4166666667,12,39.475336268034084
Atlanta,GA,1304000,2019,0,235,492852.5833333333,12,47.68160053268126
Atlanta,GA,1304000,2020,0,418,495149.5833333333,12,84.41893400899896
Atlanta,GA,1304000,2021,0,642,500878.4166666667,12,128.17481820688022
Atlanta,GA,1304000,2022,0,620,508637.5833333333,12,121.89425640489603
Atlanta,GA,1304000,2023,0,589,505692,12,116.4740593088283
Atlanta,GA,1304000,2024,0,706,505692,12,139.6106721087144
Atlanta,GA,1304000,2025,0,954,505692,9,188.65238129137893
Aurora,CO,804000,2018,0,29,366098.75,12,7.921360015569569
Aurora,CO,804000,2019,0,43,373842.3333333333,12,11.502175159403206
Aurora,CO,804000,2020,0,123,381295.75,12,32.258424071078686
Aurora,CO,804000,2021,0,174,387632,12,44.887934948611054
Aurora,CO,804000,2022,0,174,394381.75,12,44.11968860120936
Aurora,CO,804000,2023,0,135,396582,12,34.04087931373587
Aurora,CO,804000,2024,0,117,396582,12,29.502095405237757
Aurora,CO,804000,2025,0,53,396582,9,13.36419706391112
Austin,TX,4805000,2018,0,59,942653.8333333334,12,6.258925377873779
Austin,TX,4805000,2019,0,88,957711.75,12,9.188568481069591
Austin,TX,4805000,2020,0,105,956148.9166666666,12,10.981552995536696
Austin,TX,4805000,2021,0,174,960740.9166666666,12,18.11102212693311
Austin,TX,4805000,2022,0,163,970024.9166666666,12,16.803692070109197
Austin,TX,4805000,2023,0,115,958534,12,11.9974878303743
Austin,TX,4805000,2024,0,84,958534,12,8.763382415229923
Austin,TX,4805000,2025,0,58,958534,9,6.050906905753996
Bakersfield,CA,603526,2018,0,66,376715.5833333333,12,17.519848639125847
Bakersfield,CA,603526,2019,0,65,378816.25,12,17.15871481226056
Bakersfield,CA,603526,2020,0,91,388530.9166666667,12,23.42155954556169
Bakersfield,CA,603526,2021,0,109,396079.75,12,27.519710361360307
Bakersfield,CA,603526,2022,0,76,401568.9166666667,12,18.92576761938123
Bakersfield,CA,603526,2023,0,53,411794,12,12.870512926366095
Bakersfield,CA,603526,2024,0,33,411794,12,8.013715595661909
Bakersfield,CA,603526,2025,0,21,411794,9,5.099637197239397
Baltimore,MD,2404000,2018,0,961,612102.1666666666,12,156.99993437914642
Baltimore,MD,2404000,2019,0,1097,605934.5833333334,12,181.0426455551101
Baltimore,MD,2404000,2020,0,1010,597661.75,12,168.99190888491694
Baltimore,MD,2404000,2021,0,1020,590501.8333333334,12,172.73443407316546
Baltimore,MD,2404000,2022,0,996,583869.75,12,170.5859911392909
Baltimore,MD,2404000,2023,0,842,578419,12,145.5692153957598
Baltimore,MD,2404000,2024,0,619,578419,12,107.01584837289231
Baltimore,MD,2404000,2025,0,356,578419,9,61.547079193456646
Baton Rouge,LA,2205000,2018,0,159,224806.08333333334,12,70.72762339987092
