boro,year,robbery,robbery_rate,violent_total,violent_rate,pop_2020,treated
Bronx,2024,4937,335.24507453889373,17160,1165.243159628806,1472654,1
Brooklyn,2024,4055,148.20505585740736,15415,563.3985045726102,2736074,1
Manhattan,2024,3718,219.44800386719558,11277,665.6038568075214,1694251,1
Queens,2024,3546,147.41438657988644,12578,522.8928805419662,2405464,1
Staten Island,2024,298,60.11130677543182,1686,340.0928296086512,495747,1
Bronx,2023,4919,334.02279150431804,16552,1123.9571549053614,1472654,1
Brooklyn,2023,4236,154.82037401035205,15474,565.5548789981557,2736074,1
Manhattan,2023,3768,222.3991604549739,10726,633.0821112102044,1694251,1
Queens,2023,3387,140.80443523577986,11531,479.3669745213397,2405464,1
Staten Island,2023,311,62.7336121045614,1723,347.55631400694307,495747,1
Bronx,2022,5166,350.79523092321756,17592,1194.5779524586223,1472654,1
Brooklyn,2022,4479,163.70171274607338,17123,625.8237167561988,2736074,1
Manhattan,2022,4176,246.48059821124497,12985,766.4153658460287,1694251,1
Queens,2022,3323,138.14382588972438,11847,492.50373316748863,2405464,1
Staten Island,2022,289,58.29586462449596,1746,352.19577728155696,495747,1
Bronx,2021,4048,274.87787355346194,14819,1006.2784605209371,1472654,1
Brooklyn,2021,3590,131.2099014865826,15249,557.3314172058211,2736074,1
Manhattan,2021,3562,210.24039531332724,11721,691.8101273069929,1694251,1
Queens,2021,2502,104.01319662235645,10262,426.61207983158346,2405464,1
Staten Island,2021,207,41.75516947152479,1313,264.8528382420872,495747,1
Bronx,2020,3519,238.95633325954364,13129,891.5196644968879,1472654,1
Brooklyn,2020,3816,139.46991199799422,14590,533.2458113340502,2736074,1
Manhattan,2020,3053,180.19762124974397,9264,546.7902925835664,1694251,1
Queens,2020,2549,105.96708161086593,9629,400.29699051825344,2405464,1
Staten Island,2020,245,49.42036966436509,1347,271.7111752567338,495747,1
Bronx,2019,3530,239.70328400289546,13157,893.4209936617834,1472654,1
Brooklyn,2019,4031,147.32788659955833,14194,518.7725185795414,2736074,1
Manhattan,2019,3115,183.8570554185891,9779,577.1872054376831,1694251,1
Queens,2019,2493,103.63904843306737,9393,390.4859935546739,2405464,1
Staten Island,2019,227,45.789485362493366,1298,261.82710132386075,495747,1
Bronx,2018,3213,218.17752167175726,12514,849.7583274822192,1472654,1
Brooklyn,2018,4157,151.93302520326571,14384,525.7167752041794,2736074,1
Manhattan,2018,2731,161.19217282445163,8951,528.3160523440741,1694251,1
Queens,2018,2534,105.34350129538417,8856,368.1618182604271,2405464,1
Staten Island,2018,327,65.96106481733626,1408,284.0158387241879,495747,1
Bronx,2017,3570,242.41946852417473,12534,851.1164197428587,1472654,1
Brooklyn,2017,4497,164.35958968946017,14593,533.3554574912813,2736074,1
Manhattan,2017,2749,162.25458919605182,8671,511.7895754525156,1694251,1
Queens,2017,2851,118.52183196256523,9184,381.7974411589614,2405464,1
Staten Island,2017,328,66.1627806118847,1451,292.6896178897704,495747,1
Bronx,2016,4297,291.7861221984254,13817,938.2380382628913,1472654,1
Brooklyn,2016,4907,179.34456451104757,15523,567.3457662329308,2736074,1
Manhattan,2016,2929,172.87875291205376,8839,521.7054615874507,1694251,1
Queens,2016,2989,124.25877086499736,9356,388.94782877648555,2405464,1
Staten Island,2016,422,85.124065299437,1589,320.5263975374536,495747,1
Bronx,2015,4386,297.82963275827177,13409,910.532956145843,1472654,1
Brooklyn,2015,5686,207.81601667206368,16385,598.8507620773415,2736074,1
Manhattan,2015,3148,185.8048187665228,8789,518.7543049996724,1694251,1
Queens,2015,3270,135.9405087750222,9854,409.6506952504797,2405464,1
Staten Island,2015,456,91.9824023140836,1651,333.03277679945614,495747,1
Bronx,2014,4004,271.8900705800548,12713,863.2713454755835,1472654,1
Brooklyn,2014,5980,218.56134008071422,17053,623.2653064208058,2736074,1
Manhattan,2014,2909,171.69829027694246,8327,491.4856181286007,1694251,1
Queens,2014,3271,135.9820807960543,9800,407.4058061147455,2405464,1
Staten Island,2014,417,84.11548632669486,1551,312.8611973446133,495747,1
Bronx,2013,4456,302.5829556705105,13020,884.1180616764019,1472654,1
