month_date,boro,robbery_count,shooting_incidents,pursuit_crashes,shots_fired_incidents,pop_2020,year,month,total_gun_events,robbery_rate,shooting_rate,crash_rate,gunviol_rate
2018-01-01,Manhattan,236,7,0,10,1694251,2018,1,17,167.15350913176383,4.957943067467571,0,12.040718878135529
2018-01-01,Brooklyn,395,13,1,32,2736074,2018,1,45,173.2409284251815,5.701600176018632,0.43858462892451006,19.736308301602953
2018-01-01,Queens,242,12,0,11,2405464,2018,1,23,120.72514907726742,5.986371028624831,0,11.473877804864259
2018-01-01,Bronx,253,26,0,27,1472654,2018,1,53,206.15840516509644,21.186239265978294,0,43.18733388834037
2018-01-01,Staten Island,28,1,0,1,495747,2018,1,2,67.77650696827213,2.4205895345811475,0,4.841179069162295
2018-02-01,Manhattan,207,4,1,7,1694251,2018,2,11,146.61345928082673,2.8331103242671833,0.7082775810667958,7.791053391734755
2018-02-01,Brooklyn,278,13,1,33,2736074,2018,2,46,121.92652684101381,5.701600176018632,0.43858462892451006,20.174892930527463
2018-02-01,Queens,174,6,2,9,2405464,2018,2,15,86.80237991506004,2.9931855143124153,0.9977285047708051,7.482963785781038
2018-02-01,Bronx,257,12,2,20,1472654,2018,2,32,209.4178265906316,9.778264276605366,1.6297107127675612,26.07537140428098
2018-02-01,Staten Island,22,1,0,2,495747,2018,2,3,53.252969760785234,2.4205895345811475,0,7.261768603743441
2018-03-01,Manhattan,204,2,0,10,1694251,2018,3,12,144.48862653762635,1.4165551621335917,0,8.49933097280155
2018-03-01,Brooklyn,282,22,0,22,2736074,2018,3,44,123.68086535671185,9.648861836339222,0,19.297723672678444
2018-03-01,Queens,193,9,2,15,2405464,2018,3,24,96.28080071038269,4.489778271468623,0.9977285047708051,11.972742057249661
2018-03-01,Bronx,238,12,1,19,1472654,2018,3,31,193.93557481933982,9.778264276605366,0.8148553563837806,25.260516047897198
2018-03-01,Staten Island,19,1,0,3,495747,2018,3,4,45.99120115704179,2.4205895345811475,0,9.68235813832459
2018-04-01,Manhattan,152,7,0,12,1694251,2018,4,19,107.65819232215296,4.957943067467571,0,13.45727404026912
2018-04-01,Brooklyn,287,26,1,48,2736074,2018,4,74,125.87378850133439,11.403200352037263,0.43858462892451006,32.45526254041374
