month_date,boro,pursuit_events
2018-01-01,Brooklyn,3
2018-01-01,Queens,2
2018-02-01,Bronx,2
2018-02-01,Brooklyn,1
2018-02-01,Manhattan,1
2018-02-01,Queens,3
2018-03-01,Brooklyn,1
2018-03-01,Manhattan,2
2018-04-01,Brooklyn,1
2018-04-01,Queens,1
2018-05-01,Bronx,1
2018-05-01,Brooklyn,2
2018-05-01,Manhattan,2
2018-07-01,Manhattan,1
2018-07-01,Queens,4
2018-08-01,Bronx,2
2018-08-01,Brooklyn,3
2018-08-01,Manhattan,1
2018-08-01,Queens,5
2018-09-01,Bronx,1
2018-09-01,Queens,2
2018-10-01,Bronx,1
2018-10-01,Brooklyn,4
2018-10-01,Queens,1
2018-10-01,Staten Island,1
2018-11-01,Bronx,1
2018-11-01,Brooklyn,3
2018-11-01,Queens,2
2018-12-01,Bronx,2
2018-12-01,Brooklyn,1
2018-12-01,Queens,3
2018-12-01,Staten Island,1
2019-01-01,Bronx,1
2019-01-01,Brooklyn,1
2019-01-01,Queens,3
2019-02-01,Bronx,1
2019-02-01,Brooklyn,3
2019-02-01,Staten Island,1
2019-03-01,Bronx,3
2019-03-01,Brooklyn,2
2019-03-01,Manhattan,1
2019-03-01,Queens,1
2019-04-01,Bronx,1
2019-04-01,Brooklyn,1
2019-04-01,Queens,2
2019-05-01,Manhattan,1
2019-05-01,Queens,1
2019-06-01,Bronx,1
2019-06-01,Brooklyn,2
2019-06-01,Queens,3
2019-07-01,Bronx,3
2019-07-01,Brooklyn,2
2019-07-01,Manhattan,1
2019-07-01,Queens,3
2019-08-01,Brooklyn,6
2019-08-01,Manhattan,1
2019-08-01,Queens,3
2019-08-01,Staten Island,1
2019-09-01,Bronx,2
2019-09-01,Manhattan,1
2019-10-01,Bronx,1
2019-10-01,Queens,3
2019-11-01,Bronx,2
2019-11-01,Brooklyn,1
2019-11-01,Manhattan,1
2019-11-01,Queens,1
2019-12-01,Bronx,1
2019-12-01,Brooklyn,1
2019-12-01,Queens,1
2020-01-01,Bronx,2
2020-01-01,Queens,2
2020-01-01,Staten Island,1
2020-02-01,Bronx,1
2020-02-01,Queens,5
2020-02-01,Staten Island,2
2020-03-01,Bronx,2
2020-03-01,Brooklyn,3
2020-03-01,Manhattan,1
2020-03-01,Queens,1
2020-04-01,Brooklyn,3
2020-04-01,Manhattan,1
2020-04-01,Queens,1
2020-05-01,Brooklyn,1
2020-05-01,Queens,5
2020-05-01,Staten Island,2
2020-06-01,Bronx,1
2020-06-01,Brooklyn,1
2020-06-01,Manhattan,1
2020-06-01,Queens,1
2020-06-01,Staten Island,1
2020-07-01,Bronx,1
2020-07-01,Brooklyn,3
2020-07-01,Queens,2
2020-08-01,Bronx,2
2020-08-01,Brooklyn,1
2020-08-01,Manhattan,1
2020-09-01,Bronx,1
2020-09-01,Brooklyn,4
2020-09-01,Manhattan,1
2020-09-01,Queens,2
2020-10-01,Bronx,2
2020-10-01,Brooklyn,5
2020-10-01,Manhattan,2
2020-10-01,Queens,2
2020-11-01,Bronx,3
2020-11-01,Brooklyn,15
2020-11-01,Queens,4
2020-11-01,Staten Island,2
2020-12-01,Bronx,1
2020-12-01,Brooklyn,1
2020-12-01,Manhattan,3
2020-12-01,Queens,2
2020-12-01,Staten Island,1
2021-01-01,Brooklyn,5
2021-01-01,Queens,4
2021-01-01,Staten Island,1
2021-02-01,Brooklyn,2
2021-02-01,Queens,1
2021-03-01,Bronx,2
2021-03-01,Brooklyn,6
2021-03-01,Queens,3
2021-04-01,Bronx,3
2021-04-01,Manhattan,1
2021-04-01,Queens,2
2021-04-01,Staten Island,1
2021-05-01,Bronx,1
2021-05-01,Brooklyn,2
2021-05-01,Manhattan,4
2021-05-01,Queens,1
2021-06-01,Brooklyn,5
2021-06-01,Queens,2
2021-07-01,Brooklyn,7
2021-07-01,Manhattan,1
2021-07-01,Queens,4
2021-07-01,Staten Island,1
2021-08-01,Brooklyn,4
2021-08-01,Queens,3
2021-09-01,Bronx,1
2021-09-01,Brooklyn,6
2021-09-01,Manhattan,3
2021-09-01,Queens,2
2021-09-01,Staten Island,1
2021-10-01,Bronx,3
2021-10-01,Brooklyn,7
2021-10-01,Queens,4
2021-10-01,Staten Island,2
2021-11-01,Bronx,2
2021-11-01,Brooklyn,1
2021-11-01,Manhattan,1
2021-11-01,Staten Island,2
2021-12-01,Bronx,3
2021-12-01,Brooklyn,2
2021-12-01,Queens,2
2021-12-01,Staten Island,1
2022-01-01,Bronx,3
2022-01-01,Brooklyn,5
2022-01-01,Manhattan,1
2022-01-01,Queens,5
2022-01-01,Staten Island,1
2022-02-01,Bronx,6
2022-02-01,Brooklyn,6
2022-02-01,Manhattan,2
2022-02-01,Queens,3
2022-02-01,Staten Island,2
2022-03-01,Bronx,2
2022-03-01,Brooklyn,7
2022-03-01,Manhattan,1
2022-03-01,Staten Island,1
2022-04-01,Bronx,3
2022-04-01,Brooklyn,4
2022-04-01,Manhattan,1
2022-04-01,Queens,4
2022-05-01,Bronx,6
2022-05-01,Brooklyn,4
2022-05-01,Queens,3
2022-06-01,Bronx,1
2022-06-01,Brooklyn,3
2022-06-01,Queens,2
2022-06-01,Staten Island,1
2022-07-01,Bronx,2
2022-07-01,Brooklyn,1
2022-07-01,Manhattan,2
2022-07-01,Queens,3
2022-08-01,Bronx,1
2022-08-01,Brooklyn,3
2022-08-01,Queens,1
2022-08-01,Staten Island,1
2022-09-01,Bronx,2
2022-09-01,Brooklyn,6
2022-09-01,Manhattan,1
2022-09-01,Queens,5
2022-09-01,Staten Island,1
2022-10-01,Bronx,3
2022-10-01,Brooklyn,10
2022-10-01,Manhattan,4
2022-10-01,Queens,4
2022-10-01,Staten Island,1
2022-11-01,Bronx,7
2022-11-01,Brooklyn,13
2022-11-01,Manhattan,2
2022-11-01,Queens,7
2022-11-01,Staten Island,3
2022-12-01,Bronx,21
2022-12-01,Brooklyn,8
2022-12-01,Manhattan,10
2022-12-01,Queens,12
2022-12-01,Staten Island,3
2023-01-01,Bronx,47
2023-01-01,Brooklyn,26
2023-01-01,Manhattan,30
2023-01-01,Queens,20
2023-01-01,Staten Island,10
2023-02-01,Bronx,35
2023-02-01,Brooklyn,19
2023-02-01,Manhattan,21
2023-02-01,Queens,14
2023-02-01,Staten Island,5
2023-03-01,Bronx,30
2023-03-01,Brooklyn,15
2023-03-01,Manhattan,12
2023-03-01,Queens,15
2023-03-01,Staten Island,5
