boro,year,treated,pop_2020,shooting_incidents,n_months,shooting_rate
Baltimore,2012,0,585708,22,10,3.756137870747881
Baltimore,2013,0,585708,31,10,5.292739726962924
Baltimore,2014,0,585708,345,12,58.90307115490995
Baltimore,2015,0,585708,538,12,91.85464429374365
Baltimore,2016,0,585708,545,12,93.04977907079979
Baltimore,2017,0,585708,601,12,102.61085728724895
Baltimore,2018,0,585708,573,12,97.83031817902437
Baltimore,2019,0,585708,623,12,106.36699515799683
Baltimore,2020,0,585708,584,12,99.7083871143983
Baltimore,2021,0,585708,597,12,101.92792312893114
Baltimore,2022,0,585708,557,12,95.09858154575316
Baltimore,2023,0,585708,510,12,87.07410518551907
Baltimore,2024,0,585708,356,12,60.78114009028389
Boston,2015,0,675647,212,12,31.377331653955395
Boston,2016,0,675647,191,12,28.269199744837174
Boston,2017,0,675647,220,12,32.56138190504805
Boston,2018,0,675647,172,12,25.457080398492113
Boston,2019,0,675647,156,12,23.0889798963068
Boston,2020,0,675647,231,12,34.18945100030045
Boston,2021,0,675647,165,12,24.42103642878604
Boston,2022,0,675647,143,12,21.164898238281232
Boston,2023,0,675647,109,12,16.132684671137444
Boston,2024,0,675647,102,12,15.096640701431369
Boston,2025,0,675647,102,12,15.096640701431369
Boston,2026,0,675647,5,1,0.7400314069329103
Bronx,2018,1,1472654,227,12,15.414347158259849
Bronx,2019,1,1472654,218,12,14.803205640972013
Bronx,2020,1,1472654,389,12,26.41489446944089
Bronx,2021,1,1472654,508,12,34.49554342024671
Bronx,2022,1,1472654,408,12,27.705082117048537
Bronx,2023,1,1472654,316,12,21.457857718106222
Bronx,2024,1,1472654,338,12,22.95175920480982
Bronx,2025,1,1472654,252,12,17.11196248405939
Brooklyn,2018,1,2736074,311,12,11.36665163296022
Brooklyn,2019,1,2736074,290,12,10.599128532342327
Brooklyn,2020,1,2736074,652,12,23.829764838231714
Brooklyn,2021,1,2736074,519,12,18.96878520098506
Brooklyn,2022,1,2736074,449,12,16.410374865592086
Brooklyn,2023,1,2736074,338,12,12.353467048040367
Brooklyn,2024,1,2736074,287,12,10.4894823751112
Brooklyn,2025,1,2736074,245,12,8.954436173875415
Buffalo,2006,0,278349,217,10,77.9596837064261
Buffalo,2007,0,278349,180,12,64.6670187426576
Buffalo,2008,0,278349,220,12,79.03746735213707
Buffalo,2009,0,278349,261,12,93.76717717685352
Buffalo,2010,0,278349,220,12,79.03746735213707
Buffalo,2011,0,278349,229,12,82.27081828926995
Buffalo,2012,0,278349,217,12,77.9596837064261
Buffalo,2013,0,278349,171,12,61.43366780552472
Buffalo,2014,0,278349,205,12,73.64854912358227
Buffalo,2015,0,278349,204,12,73.28928790834529
Buffalo,2016,0,278349,262,12,94.1264383920905
Buffalo,2017,0,278349,200,12,71.85224304739732
Buffalo,2018,0,278349,206,12,74.00781033881925
Buffalo,2019,0,278349,153,12,54.966965931258954
Buffalo,2020,0,278349,300,12,107.778364571096
Buffalo,2021,0,278349,301,12,108.13762578633299
Buffalo,2022,0,278349,201,12,72.21150426263432
Buffalo,2023,0,278349,141,12,50.65583134841512
Buffalo,2024,0,278349,124,12,44.548390689386345
Buffalo,2025,0,278349,100,12,35.92612152369866
Buffalo,2026,0,278349,3,1,1.07778364571096
Chicago,1991,0,2746388,905,12,32.9523723523406
Chicago,1992,0,2746388,903,12,32.87954943001498
Chicago,1993,0,2746388,831,12,30.25792422629286
Chicago,1994,0,2746388,887,12,32.296966051410074
Chicago,1995,0,2746388,798,12,29.05634600792022
Chicago,1996,0,2746388,772,12,28.10964801768723
Chicago,1997,0,2746388,729,12,26.543955187686517
Chicago,1998,0,2746388,697,12,25.378788430476686
Chicago,1999,0,2746388,617,12,22.465871537452102
Chicago,2000,0,2746388,617,12,22.465871537452102
Chicago,2001,0,2746388,648,12,23.594626833499127
Chicago,2002,0,2746388,633,12,23.04845491605702
Chicago,2003,0,2746388,569,12,20.71812140163735
Chicago,2004,0,2746388,442,12,16.093865833960823
Chicago,2005,0,2746388,438,12,15.948219989309596
Chicago,2006,0,2746388,455,12,16.56721482907732
Chicago,2007,0,2746388,430,12,15.656928300007136
Chicago,2008,0,2746388,492,12,17.914438892101188
Chicago,2009,0,2746388,442,12,16.093865833960823
Chicago,2010,0,2746388,2416,12,87.97009016934243
Chicago,2011,0,2746388,2305,12,83.92841798027081
Chicago,2012,0,2746388,2522,12,91.82970505259999
Chicago,2013,0,2746388,1934,12,70.4197658888693
Chicago,2014,0,2746388,2141,12,77.95693834957042
Chicago,2015,0,2746388,2478,12,90.22760076143648
Chicago,2016,0,2746388,3623,12,131.91872379285084
Chicago,2017,0,2746388,2830,12,103.04443509074464
Chicago,2018,0,2746388,2479,12,90.26401222259928
Chicago,2019,0,2746388,2200,12,80.10521455817606
Chicago,2020,0,2746388,3332,12,121.32298859447391
Chicago,2021,0,2746388,3603,12,131.1904945695947
Chicago,2022,0,2746388,2901,12,105.62964883330396
Chicago,2023,0,2746388,2516,12,91.61123628562315
Chicago,2024,0,2746388,2344,12,85.34846496562031
Chicago,2025,0,2746388,1537,12,55.964415807234815
Chicago,2026,0,2746388,153,2,5.570953557909516
Cincinnati,2023,0,309317,379,12,122.52802141492386
Cincinnati,2024,0,309317,355,12,114.76899103508698
Cincinnati,2025,0,309317,286,12,92.46177869305599
Cincinnati,2026,0,309317,31,2,10.022080907289286
Manhattan,2018,1,1694251,86,12,5.075989330978704
Manhattan,2019,1,1694251,120,12,7.082775810667958
Manhattan,2020,1,1694251,212,12,12.512903932180063
Manhattan,2021,1,1694251,262,12,15.464060519958378
Manhattan,2022,1,1694251,211,12,12.453880800424495
Manhattan,2023,1,1694251,162,12,9.561747344401745
Manhattan,2024,1,1694251,145,12,8.558354104557118
Manhattan,2025,1,1694251,90,12,5.312081858000969
Philadelphia,2015,0,1603797,979,12,61.042638189247135
Philadelphia,2016,0,1603797,1009,12,62.913199114351755
Philadelphia,2017,0,1603797,977,12,60.9179341275735
Philadelphia,2018,0,1603797,1047,12,65.28257628615093
Philadelphia,2019,0,1603797,1079,12,67.27784127292918
Philadelphia,2020,0,1603797,1527,12,95.2115510878247
Philadelphia,2021,0,1603797,1539,12,95.95977545786654
Philadelphia,2022,0,1603797,1506,12,93.90215844025148
Philadelphia,2023,0,1603797,1183,12,73.7624524799585
Philadelphia,2024,0,1603797,829,12,51.689833563724086
Philadelphia,2025,0,1603797,719,12,44.83111017167384
Philadelphia,2026,0,1603797,46,2,2.8681934184937368
Queens,2018,1,2405464,110,12,4.572922313532857
Queens,2019,1,2405464,125,12,5.19650262901461
Queens,2020,1,2405464,238,12,9.894141005643817
Queens,2021,1,2405464,237,12,9.8525689846117
Queens,2022,1,2405464,198,12,8.231260164359142
Queens,2023,1,2405464,131,12,5.445934755207311
Queens,2024,1,2405464,119,12,4.947070502821909
Queens,2025,1,2405464,90,12,3.7414818928905196
Rochester,2006,0,211328,225,10,106.46956390066626
Rochester,2007,0,211328,176,12,83.28285887341005
Rochester,2008,0,211328,157,12,74.29209569957602
Rochester,2009,0,211328,126,12,59.622955784373104
Rochester,2010,0,211328,155,12,73.34569957601454
Rochester,2011,0,211328,131,12,61.98894609327681
Rochester,2012,0,211328,194,12,91.80042398546335
Rochester,2013,0,211328,192,12,90.85402786190188
Rochester,2014,0,211328,168,12,79.49727437916415
Rochester,2015,0,211328,191,12,90.38082980012113
Rochester,2016,0,211328,156,12,73.81889763779527
Rochester,2017,0,211328,156,12,73.81889763779527
Rochester,2018,0,211328,137,12,64.82813446396123
Rochester,2019,0,211328,157,12,74.29209569957602
Rochester,2020,0,211328,267,12,126.3438824954573
Rochester,2021,0,211328,350,12,165.61932162325863
Rochester,2022,0,211328,303,12,143.37901271956392
Rochester,2023,0,211328,247,12,116.87992125984253
Rochester,2024,0,211328,165,12,78.07768019382192
Rochester,2025,0,211328,146,12,69.08691701998788
Rochester,2026,0,211328,13,1,6.1515748031496065
Staten Island,2018,1,495747,20,12,4.034315890968578
Staten Island,2019,1,495747,24,12,4.841179069162294
Staten Island,2020,1,495747,41,12,8.270347576485587
Staten Island,2021,1,495747,36,12,7.261768603743442
Staten Island,2022,1,495747,28,12,5.648042247356011
Staten Island,2023,1,495747,27,12,5.446326452807581
Staten Island,2024,1,495747,15,12,3.025736918226434
Staten Island,2025,1,495747,11,12,2.218873740032718
Syracuse,2006,0,148620,64,10,43.062844839187186
Syracuse,2007,0,148620,95,12,63.92141030816848
Syracuse,2008,0,148620,93,12,62.575696406943884
Syracuse,2009,0,148620,73,12,49.118557394697895
Syracuse,2010,0,148620,80,12,53.828556048983984
Syracuse,2011,0,148620,86,12,57.86569775265779
Syracuse,2012,0,148620,78,12,52.48284214775939
Syracuse,2013,0,148620,74,12,49.79141434531019
Syracuse,2014,0,148620,94,12,63.248553357556176
Syracuse,2015,0,148620,113,12,76.03283541918988
Syracuse,2016,0,148620,128,12,86.12568967837437
Syracuse,2017,0,148620,113,12,76.03283541918988
Syracuse,2018,0,148620,109,12,73.34140761674068
Syracuse,2019,0,148620,86,12,57.86569775265779
Syracuse,2020,0,148620,148,12,99.58282869062037
Syracuse,2021,0,148620,135,12,90.83568833266048
Syracuse,2022,0,148620,147,12,98.90997174000807
Syracuse,2023,0,148620,93,12,62.575696406943884
Syracuse,2024,0,148620,63,12,42.389987888574886
Syracuse,2025,0,148620,50,12,33.64284753061499
Syracuse,2026,0,148620,5,1,3.364284753061499
