term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,event_year
year_fct::2014:nyc,-97.84356308249389,30.645289553131015,-3.192776590113741,0.002828660029191627,-159.88170840524475,-35.805417759743015,robbery_rate,2014
year_fct::2015:nyc,-90.24403088180698,26.848056767716777,-3.3612872492999255,0.0017786267720359197,-144.59508031475008,-35.892981448863885,robbery_rate,2015
year_fct::2016:nyc,-110.67940701434773,24.274281357107295,-4.5595338286684965,5.2009681030774935e-5,-159.82012052683285,-61.5386935018626,robbery_rate,2016
year_fct::2017:nyc,-116.51357382295589,25.580011590194836,-4.5548679058307044,5.276051713453013e-5,-168.29759999894685,-64.72954764696493,robbery_rate,2017
year_fct::2018:nyc,-87.21888822437762,26.28563254403378,-3.318120196585273,0.0020050418125585863,-140.43136934125414,-34.006407107501104,robbery_rate,2018
year_fct::2019:nyc,-63.19503268908704,19.722123119379166,-3.204271279849731,0.0027414449991332015,-103.12038363191155,-23.269681746262535,robbery_rate,2019
year_fct::2020:nyc,-54.098418127042905,18.75192805031325,-2.8849523090047904,0.006417320433678156,-92.0597118341942,-16.137124419891606,robbery_rate,2020
year_fct::2021:nyc,-32.04915729934807,12.904513738099507,-2.4835617947172692,0.017534694166367968,-58.17297959887854,-5.9253349998175935,robbery_rate,2021
year_fct::2023:nyc,-7.648114403504408,10.730225391094688,-0.7127636302823416,0.48034619988751603,-29.370320062696525,14.074091255687708,robbery_rate,2023
year_fct::2024:nyc,6.4346907448374395,9.444544886600037,0.681312950713698,0.49980476307757293,-12.684790804400308,25.554172294075187,robbery_rate,2024
