boro,year,treated,shooting_incidents,pop_2020,n_months,shooting_rate,post,did
Baltimore,2018,0,573,585708,12,97.83031817902437,0,0
Baltimore,2019,0,623,585708,12,106.36699515799683,0,0
Baltimore,2020,0,584,585708,12,99.7083871143983,0,0
Baltimore,2021,0,597,585708,12,101.92792312893116,0,0
Baltimore,2022,0,557,585708,12,95.09858154575316,0,0
Baltimore,2023,0,510,585708,12,87.07410518551907,1,0
Baltimore,2024,0,356,585708,12,60.78114009028389,1,0
Boston,2018,0,172,675647,12,25.457080398492117,0,0
Boston,2019,0,156,675647,12,23.0889798963068,0,0
Boston,2020,0,231,675647,12,34.18945100030045,0,0
Boston,2021,0,165,675647,12,24.42103642878604,0,0
Boston,2022,0,143,675647,12,21.164898238281232,0,0
Boston,2023,0,109,675647,12,16.132684671137444,1,0
Boston,2024,0,102,675647,12,15.096640701431369,1,0
Boston,2025,0,84,675647,9,16.57670351529719,1,0
Bronx,2018,1,227,1472654,12,15.414347158259847,0,0
Bronx,2019,1,218,1472654,12,14.803205640972013,0,0
Bronx,2020,1,389,1472654,12,26.41489446944089,0,0
Bronx,2021,1,508,1472654,12,34.49554342024671,0,0
Bronx,2022,1,408,1472654,12,27.705082117048534,0,0
Bronx,2023,1,316,1472654,12,21.457857718106222,1,1
Bronx,2024,1,338,1472654,12,22.95175920480982,1,1
Bronx,2025,1,208,1472654,9,18.832212680869596,1,1
Brooklyn,2018,1,311,2736074,12,11.36665163296022,0,0
Brooklyn,2019,1,290,2736074,12,10.599128532342327,0,0
Brooklyn,2020,1,652,2736074,12,23.829764838231714,0,0
Brooklyn,2021,1,519,2736074,12,18.96878520098506,0,0
Brooklyn,2022,1,449,2736074,12,16.410374865592086,0,0
Brooklyn,2023,1,338,2736074,12,12.353467048040368,1,1
Brooklyn,2024,1,287,2736074,12,10.4894823751112,1,1
Brooklyn,2025,1,197,2736074,9,9.600130210903165,1,1
Buffalo,2018,0,206,278349,12,74.00781033881925,0,0
Buffalo,2019,0,153,278349,12,54.966965931258954,0,0
Buffalo,2020,0,300,278349,12,107.778364571096,0,0
Buffalo,2021,0,301,278349,12,108.13762578633299,0,0
Buffalo,2022,0,201,278349,12,72.21150426263432,0,0
Buffalo,2023,0,141,278349,12,50.65583134841512,1,0
Buffalo,2024,0,124,278349,12,44.548390689386345,1,0
Buffalo,2025,0,74,278349,9,35.44710657004935,1,0
Chicago,2018,0,2479,2746388,12,90.26401222259928,0,0
Chicago,2019,0,2200,2746388,12,80.10521455817606,0,0
Chicago,2020,0,3332,2746388,12,121.32298859447391,0,0
Chicago,2021,0,3603,2746388,12,131.1904945695947,0,0
Chicago,2022,0,2901,2746388,12,105.62964883330396,0,0
Chicago,2023,0,2516,2746388,12,91.61123628562315,1,0
Chicago,2024,0,2344,2746388,12,85.34846496562031,1,0
Chicago,2025,0,1218,2746388,9,59.13221292839904,1,0
Manhattan,2018,1,86,1694251,12,5.075989330978704,0,0
Manhattan,2019,1,120,1694251,12,7.0827758106679575,0,0
Manhattan,2020,1,211,1694251,12,12.453880800424495,0,0
Manhattan,2021,1,262,1694251,12,15.464060519958377,0,0
Manhattan,2022,1,211,1694251,12,12.453880800424495,0,0
Manhattan,2023,1,162,1694251,12,9.561747344401745,1,1
Manhattan,2024,1,145,1694251,12,8.558354104557118,1,1
Manhattan,2025,1,69,1694251,9,5.430128121512102,1,1
Philadelphia,2018,0,1047,1603797,12,65.28257628615093,0,0
Philadelphia,2019,0,1079,1603797,12,67.27784127292918,0,0
Philadelphia,2020,0,1527,1603797,12,95.2115510878247,0,0
Philadelphia,2021,0,1539,1603797,12,95.95977545786654,0,0
Philadelphia,2022,0,1506,1603797,12,93.90215844025148,0,0
Philadelphia,2023,0,1183,1603797,12,73.7624524799585,1,0
Philadelphia,2024,0,829,1603797,12,51.68983356372408,1,0
Philadelphia,2025,0,566,1603797,9,47.054999271520444,1,0
Queens,2018,1,110,2405464,12,4.572922313532857,0,0
Queens,2019,1,125,2405464,12,5.19650262901461,0,0
Queens,2020,1,238,2405464,12,9.894141005643817,0,0
Queens,2021,1,236,2405464,12,9.810996963579584,0,0
Queens,2022,1,198,2405464,12,8.231260164359142,0,0
Queens,2023,1,131,2405464,12,5.445934755207311,1,1
Queens,2024,1,119,2405464,12,4.947070502821909,1,1
Queens,2025,1,71,2405464,9,3.9354846577070646,1,1
Rochester,2018,0,137,211328,12,64.82813446396123,0,0
Rochester,2019,0,157,211328,12,74.29209569957602,0,0
Rochester,2020,0,267,211328,12,126.34388249545731,0,0
Rochester,2021,0,350,211328,12,165.61932162325863,0,0
Rochester,2022,0,303,211328,12,143.37901271956392,0,0
Rochester,2023,0,247,211328,12,116.87992125984252,1,0
Rochester,2024,0,165,211328,12,78.07768019382192,1,0
Rochester,2025,0,117,211328,9,73.81889763779527,1,0
Staten Island,2018,1,20,495747,12,4.034315890968578,0,0
Staten Island,2019,1,24,495747,12,4.841179069162294,0,0
Staten Island,2020,1,41,495747,12,8.270347576485587,0,0
Staten Island,2021,1,37,495747,12,7.463484398291872,0,0
