boro,year,robbery,robbery_rate,pop_2020,treated
Mesa,2024,258,50.23511200677589,504258,0
Mesa,2023,282,54.66726632651479,504258,0
Mesa,2022,311,60.61007647393572,504258,0
Mesa,2021,324,63.07023571527293,504258,0
Mesa,2020,377,71.4880319174152,504258,0
Mesa,2019,390,75.26632700324224,504258,0
Mesa,2018,417,82.5950288488392,504258,0
Mesa,2017,454,92.22618573622498,504258,0
Mesa,2016,450,94.08773576818454,504258,0
Mesa,2015,408,86.61795114577717,504258,0
Mesa,2014,469,101.4949404014785,504258,0
Fresno,2024,918,167.90983351685134,542107,0
Fresno,2023,909,166.13845968263718,542107,0
Fresno,2022,978,178.8355937689144,542107,0
Fresno,2021,825,154.6006337689011,542107,0
Fresno,2020,889,166.02175277138676,542107,0
Fresno,2019,687,128.58305960302087,542107,0
Fresno,2018,909,170.92313535833688,542107,0
Fresno,2017,958,182.00090810473984,542107,0
Fresno,2016,1122,213.79736126037545,542107,0
Fresno,2015,1012,194.30263210946995,542107,0
Fresno,2014,781,152.18624010351002,542107,0
San Diego,2024,1075,77.3924712603958,1386932,0
San Diego,2023,1204,87.3508813805502,1386932,0
San Diego,2022,1289,93.55236246931787,1386932,0
San Diego,2021,1105,77.02103545546616,1386932,0
San Diego,2020,1207,83.95890952192809,1386932,0
San Diego,2019,1346,93.359607196042,1386932,0
San Diego,2018,1439,100.17438278587814,1386932,0
San Diego,2017,1410,99.0087886099166,1386932,0
San Diego,2016,1387,98.1311915687831,1386932,0
San Diego,2015,1378,98.39574941787276,1386932,0
San Diego,2014,1318,96.29645865754846,1386932,0
Colorado Springs,2024,381,77.52190349845567,478961,0
Colorado Springs,2023,374,76.44291104416111,478961,0
Colorado Springs,2022,397,81.39782829773972,478961,0
Colorado Springs,2021,368,75.29457981327762,478961,0
Colorado Springs,2020,375,77.30635788102242,478961,0
Colorado Springs,2019,485,101.11581826672894,478961,0
Colorado Springs,2018,525,111.43563053463632,478961,0
Colorado Springs,2017,484,102.33466819463885,478961,0
Colorado Springs,2016,442,95.23542757905942,478961,0
Colorado Springs,2015,376,83.11045290776066,478961,0
Colorado Springs,2014,408,91.69590222699681,478961,0
Denver,2024,1272,176.1697212446557,715522,0
Denver,2023,1252,175.78788636127499,715522,0
Denver,2022,1301,184.46992899112956,715522,0
Denver,2021,1325,179.0034976607958,715522,0
Denver,2020,1221,165.5124174979565,715522,0
Denver,2019,1205,165.30830341550276,715522,0
Denver,2018,1213,168.29808045841455,715522,0
Denver,2017,1232,174.35212335978807,715522,0
Denver,2016,1159,165.7468834866623,715522,0
Denver,2015,1230,180.2414356010539,715522,0
Denver,2014,1088,163.52222053556534,715522,0
Washington,2024,3080,438.59024563901744,689545,0
Washington,2023,3789,558.0495219243209,689545,0
Washington,2022,2177,324.05333111045945,689545,0
Washington,2021,1008,150.43653458697113,689545,0
Washington,2020,2208,309.7573567372225,689545,0
Washington,2019,2359,334.2548129717506,689545,0
Washington,2018,2157,307.0659330490921,689545,0
Washington,2017,2351,338.7744750508666,689545,0
Washington,2016,3150,462.4396259377248,689545,0
Washington,2015,3404,506.3758129682191,689545,0
Washington,2014,3231,490.36793530967844,689545,0
Tampa,2024,241,58.97524997185828,384959,0
Tampa,2023,264,65.4425927165369,384959,0
Tampa,2022,315,80.73921234412846,384959,0
Tampa,2021,229,55.12586269567876,384959,0
Tampa,2020,325,79.783969559347,384959,0
Tampa,2019,285,71.16087100906115,384959,0
Tampa,2018,153,38.936746872972044,384959,0
Tampa,2017,406,105.6301384119055,384959,0
Tampa,2016,488,129.82037967140548,384959,0
Tampa,2015,671,184.14690037680134,384959,0
Tampa,2014,514,143.92759937724713,384959,0
Atlanta,2024,441,92.6733422294138,498715,0
Atlanta,2023,602,130.6877387981938,498715,0
Atlanta,2022,718,157.3984966032177,498715,0
Atlanta,2021,836,174.43449629952656,498715,0
Atlanta,2020,279,58.835810131146914,498715,0
Atlanta,2019,773,165.73543221999716,498715,0
Atlanta,2018,1099,238.18554198589092,498715,0
Atlanta,2017,1413,315.40389779395844,498715,0
Atlanta,2016,2070,469.9749573730443,498715,0
Atlanta,2015,1995,460.0410001452761,498715,0
Atlanta,2014,2329,548.6493426337524,498715,0
Chicago,2024,8847,335.27898986545637,2746388,0
Chicago,2023,10837,412.3200641631961,2746388,0
Chicago,2022,8948,337.38995612573166,2746388,0
Chicago,2021,4607,169.2537844220389,2746388,0
Chicago,2020,7869,292.1371340489561,2746388,0
Chicago,2019,7983,294.89513362077884,2746388,0
Chicago,2018,9681,356.03024620552515,2746388,0
Chicago,2017,11887,439.25531682957217,2746388,0
Chicago,2016,11960,438.87444117816506,2746388,0
Chicago,2015,9641,353.3190774344513,2746388,0
Chicago,2014,9800,359.7490713518232,2746388,0
Indianapolis,2024,1275,143.1482510651914,887642,0
Indianapolis,2023,1545,174.15691707312672,887642,0
Indianapolis,2022,1638,184.78095334788568,887642,0
Indianapolis,2021,1827,203.94585555677108,887642,0
Indianapolis,2020,2254,253.06734690211437,887642,0
Indianapolis,2019,2449,277.1305614241953,887642,0
Indianapolis,2018,3081,351.0775036919543,887642,0
Indianapolis,2017,3485,400.21222157402264,887642,0
Indianapolis,2016,3976,458.9363895234149,887642,0
Indianapolis,2015,3802,440.21188525776483,887642,0
Indianapolis,2014,3808,443.6997662653017,887642,0
Louisville,2024,868,128.2424432253861,633045,0
Louisville,2023,992,148.17735873858047,633045,0
Louisville,2022,924,136.37289426377822,633045,0
Louisville,2021,1279,188.57742732618144,633045,0
Louisville,2020,1238,183.7531355290695,633045,0
Louisville,2019,1008,149.22257702061137,633045,0
Louisville,2018,1068,156.29230172609334,633045,0
Louisville,2017,1330,194.1121267537593,633045,0
Louisville,2016,1516,221.69414689430775,633045,0
Louisville,2015,1541,226.43450150613475,633045,0
Louisville,2014,1532,226.05539242448836,633045,0
Boston,2024,833,126.39424382709025,675647,0
Boston,2023,878,136.58503196058635,675647,0
Boston,2022,779,121.92354345189185,675647,0
Boston,2021,774,109.82493281381693,675647,0
Boston,2020,924,132.50674364677488,675647,0
Boston,2019,1039,148.65346288170247,675647,0
Boston,2018,1172,168.7124733507708,675647,0
Boston,2017,1404,205.59288800898514,675647,0
Boston,2016,1530,227.04339051463168,675647,0
Boston,2015,1551,233.1426303779887,675647,0
Boston,2014,1680,256.7186165311508,675647,0
