unit,weight,analysis
"Arlington, TX",0.538703702387633,av_scm_national
"Fremont, CA",0.2832897020427544,av_scm_national
"Plano, TX",0.06819495778944999,av_scm_national
"Minneapolis, MN",0.055022540029230654,av_scm_national
"Detroit, MI",0.017866458369806767,av_scm_national
"Tampa, FL",0.006706500764707758,av_scm_national
"Glendale, AZ",0.0020540827468724316,av_scm_national
"Fresno, CA",0.002011806731502505,av_scm_national
"Spokane, WA",0.0013069958397463211,av_scm_national
"San Bernardino, CA",0.0011360599466404358,av_scm_national
"Madison, WI",0.0010677921878650101,av_scm_national
