pct,month_date,shooting_incidents,robbery_count,gun_violence_count,collision_count,high_crime_shoot,high_crime_rob,high_crime_gunviol,high_crash,b_summons_count,vm_arrests_count,post
1,2018-01-01,0,5,0,0,0,0,0,1,1189,194,0
1,2018-02-01,0,7,0,1,0,0,0,1,1380,171,0
1,2018-03-01,0,8,0,0,0,0,0,1,1130,158,0
1,2018-04-01,0,0,0,0,0,0,0,1,1184,186,0
1,2018-05-01,0,8,0,0,0,0,0,1,1385,174,0
1,2018-06-01,0,8,0,0,0,0,0,1,1679,168,0
1,2018-07-01,0,4,0,0,0,0,0,1,910,178,0
1,2018-08-01,0,6,0,0,0,0,0,1,851,180,0
1,2018-09-01,0,10,0,0,0,0,0,1,622,130,0
1,2018-10-01,0,9,0,0,0,0,0,1,1124,176,0
1,2018-11-01,0,8,0,0,0,0,0,1,1153,131,0
1,2018-12-01,0,6,0,0,0,0,0,1,920,167,0
1,2019-01-01,0,2,0,0,0,0,0,1,1494,177,0
1,2019-02-01,0,5,0,0,0,0,0,1,1264,133,0
1,2019-03-01,0,5,0,0,0,0,0,1,777,141,0
1,2019-04-01,0,6,0,0,0,0,0,1,644,151,0
1,2019-05-01,1,6,2,0,0,0,0,1,746,143,0
1,2019-06-01,0,8,0,0,0,0,0,1,806,167,0
1,2019-07-01,0,6,0,0,0,0,0,1,801,140,0
1,2019-08-01,0,5,0,0,0,0,0,1,825,145,0
1,2019-09-01,0,5,0,0,0,0,0,1,800,178,0
1,2019-10-01,0,10,0,0,0,0,0,1,667,214,0
1,2019-11-01,0,8,0,0,0,0,0,1,684,114,0
1,2019-12-01,0,12,0,0,0,0,0,1,487,146,0
1,2020-01-01,0,19,0,0,0,0,0,1,772,112,0
1,2020-02-01,0,22,1,0,0,0,0,1,774,114,0
1,2020-03-01,0,6,0,0,0,0,0,1,536,87,0
1,2020-04-01,0,9,0,0,0,0,0,1,33,37,0
1,2020-05-01,1,7,2,0,0,0,0,1,210,50,0
1,2020-06-01,0,6,0,0,0,0,0,1,99,77,0
1,2020-07-01,0,13,0,0,0,0,0,1,57,35,0
1,2020-08-01,0,18,0,0,0,0,0,1,104,26,0
1,2020-09-01,0,8,1,0,0,0,0,1,257,62,0
1,2020-10-01,1,19,1,0,0,0,0,1,277,42,0
1,2020-11-01,0,9,0,1,0,0,0,1,185,58,0
1,2020-12-01,1,15,2,0,0,0,0,1,288,53,0
1,2021-01-01,0,9,0,0,0,0,0,1,460,45,0
1,2021-02-01,0,9,1,0,0,0,0,1,321,50,0
1,2021-03-01,0,5,0,0,0,0,0,1,402,61,0
1,2021-04-01,0,4,0,0,0,0,0,1,313,81,0
1,2021-05-01,0,7,1,0,0,0,0,1,264,102,0
1,2021-06-01,0,12,0,0,0,0,0,1,287,122,0
1,2021-07-01,0,13,0,0,0,0,0,1,314,82,0
1,2021-08-01,0,11,0,0,0,0,0,1,371,90,0
1,2021-09-01,0,18,1,0,0,0,0,1,365,100,0
1,2021-10-01,0,13,0,0,0,0,0,1,557,144,0
1,2021-11-01,0,22,0,0,0,0,0,1,217,95,0
1,2021-12-01,0,12,0,1,0,0,0,1,155,106,0
1,2022-01-01,0,12,0,0,0,0,0,1,238,95,0
1,2022-02-01,0,11,0,0,0,0,0,1,370,86,0
1,2022-03-01,1,10,2,1,0,0,0,1,378,132,0
1,2022-04-01,0,16,0,0,0,0,0,1,268,135,0
1,2022-05-01,0,13,1,0,0,0,0,1,313,98,0
1,2022-06-01,0,10,0,0,0,0,0,1,339,114,0
1,2022-07-01,1,11,2,0,0,0,0,1,409,103,0
1,2022-08-01,0,10,0,0,0,0,0,1,355,127,0
1,2022-09-01,0,10,0,0,0,0,0,1,413,98,0
1,2022-10-01,0,13,0,0,0,0,0,1,380,137,1
1,2022-11-01,0,12,0,0,0,0,0,1,382,173,1
1,2022-12-01,0,8,0,0,0,0,0,1,355,104,1
1,2023-01-01,0,14,0,1,0,0,0,1,322,140,1
1,2023-02-01,0,9,0,0,0,0,0,1,424,139,1
1,2023-03-01,0,8,0,0,0,0,0,1,475,101,1
1,2023-04-01,0,9,0,0,0,0,0,1,439,90,1
1,2023-05-01,0,10,0,0,0,0,0,1,406,113,1
1,2023-06-01,0,14,1,0,0,0,0,1,386,125,1
1,2023-07-01,0,19,0,0,0,0,0,1,331,114,1
1,2023-08-01,0,10,0,0,0,0,0,1,469,124,1
1,2023-09-01,0,5,0,0,0,0,0,1,419,106,1
1,2023-10-01,0,12,0,0,0,0,0,1,423,145,1
