outcome,spec,term,estimate,std_error,t_stat,p_value,nobs,n_precincts
shooting_incidents,no_controls,post:high_crime_shoot,-0.6036796028272449,0.07620513153017072,-7.921771023887536,1.5539347313430615e-11,7392,77
shooting_incidents,with_controls,post:high_crime_shoot,-0.5741153918566915,0.07733467867256813,-7.423776780498081,1.384758605486537e-10,7392,77
shooting_incidents,control_coef,b_summons_count,7.97218578933571e-5,6.118811925829132e-5,1.3028976680396063,0.1965436008361905,7392,77
shooting_incidents,control_coef,vm_arrests_count,-0.0023276327398446773,9.001209255501483e-4,-2.58591115235105,0.01162474713401958,7392,77
robbery_count,no_controls,post:high_crime_rob,2.2453827395228414,0.9190424529198117,2.4431762998425444,0.016879565325000935,7392,77
robbery_count,with_controls,post:high_crime_rob,2.158789954770059,0.8951153097001127,2.411745091806452,0.018290030189350912,7392,77
robbery_count,control_coef,b_summons_count,-0.0020755744839324416,0.0010478060918535164,-1.9808765191094226,0.051223437946264605,7392,77
robbery_count,control_coef,vm_arrests_count,0.00677220423896664,0.005345058141028133,1.2670029137726073,0.2090231536359481,7392,77
gun_violence_count,no_controls,post:high_crime_gunviol,-1.3840180228417487,0.2558379950081951,-5.4097438607483435,7.0583306146283315e-07,7392,77
gun_violence_count,with_controls,post:high_crime_gunviol,-1.2844642370942054,0.25434236717272346,-5.050138721961049,2.946724838044612e-6,7392,77
gun_violence_count,control_coef,b_summons_count,2.4279271399932562e-4,2.13487665507179e-4,1.1372681106542015,0.25899913220174314,7392,77
gun_violence_count,control_coef,vm_arrests_count,-0.008270957292128431,0.0029668117759842137,-2.7878267705016824,0.006700197102468068,7392,77
collision_count,no_controls,post:high_crash,0.04288839815155539,0.046621074989836385,0.9199358479165326,0.36051702378381767,7392,77
collision_count,with_controls,post:high_crash,0.04097419899092789,0.04673611976158673,0.8767137537294085,0.3834049629656733,7392,77
collision_count,control_coef,b_summons_count,-4.968904529009237e-7,1.8157838254051613e-5,-0.027365066587155606,0.9782402902499039,7392,77
collision_count,control_coef,vm_arrests_count,3.712520192836345e-4,2.0705306734337123e-4,1.7930283479836604,0.07694703729847556,7392,77
