outcome,time_bin,estimate,std_error,conf_low,conf_high
Robbery,-8,-4.653171390013652,1.6676863008348894,-7.974656516866133,-1.331686263161171
Robbery,-7,-8.06747638326603,1.861192229208421,-11.774361967463935,-4.360590799068124
Robbery,-6,-5.461988304093715,1.6261283784051348,-8.700703655129116,-2.2232729530583146
Robbery,-5,-3.2766531713901412,1.3947389328450095,-6.054516501542576,-0.498789841237707
Robbery,-4,-1.242690058479638,1.1944536738740374,-3.621650724223999,1.1362706072647226
Robbery,-3,-4.8376068376069865,1.324230920268994,-7.475041290351289,-2.200172384862684
Robbery,-2,-1.1295546558705554,1.0601081108968162,-3.2409429436058925,0.9818336318647818
Robbery,0,-2.265856950067578,1.0152188617397733,-4.287840549789317,-0.2438733503458379
Robbery,1,-4.876068376068507,1.1929999934657423,-7.252133786360489,-2.500002965776525
Robbery,2,-3.147773279352334,1.35090469982439,-5.838333168232818,-0.4572133904718494
Robbery,3,-1.307467386414875,1.4788143009668002,-4.252781324401272,1.6378465515715221
Robbery,4,-0.4628879892038822,1.5665980487527218,-3.5830384132274546,2.6572624348196903
Robbery,5,-4.0308142150248925,1.5717863095310871,-7.161297955932429,-0.9003304741173563
Robbery,6,-1.3702204228521258,1.5476427911957067,-4.4526181795906314,1.7121773338863797
Robbery,7,-2.2658569500676116,1.6463242400343308,-5.544795845538056,1.0130819454028326
Robbery,8,-3.2219973009448113,1.6138089383241971,-6.4361763606048505,-0.007818241284772487
Robbery,9,-4.324486429749716,1.5972173016830404,-7.505620381162386,-1.1433524783370461
