outcome,spec,term,estimate,std_error,t_stat,p_value,nobs,n_precincts,is_reference
shooting_incidents,median,post:high_crime_shoot,-0.6036796028272449,0.07620513153017072,-7.921771023887536,1.5539347313430615e-11,7392,77,NA
robbery_count,median,post:high_crime_rob,2.2453827395228414,0.9190424529198117,2.4431762998425444,0.016879565325000935,7392,77,NA
gun_violence_count,median,post:high_crime_gunviol,-1.3840180228417487,0.2558379950081951,-5.4097438607483435,7.0583306146283315e-07,7392,77,NA
collision_count,median,post:high_crash,0.04288839815155539,0.046621074989836385,0.9199358479165326,0.36051702378381767,7392,77,NA
shooting_incidents,quartile_linear,post:shoot_quartile,-0.30020064348768594,0.03875461838183902,-7.74619015803196,3.365238436157954e-11,7392,77,NA
robbery_count,quartile_linear,post:rob_quartile,1.3643155031993313,0.4250679124674252,3.2096412436304154,0.0019476576122024088,7392,77,NA
gun_violence_count,quartile_linear,post:gunviol_quartile,-0.6679098015013678,0.13868456395761344,-4.816035631085107,7.301667014530516e-6,7392,77,NA
collision_count,quartile_linear,post:crash_quartile,0.061749541506627155,0.02397328170529846,2.575765064863004,0.01194252457391071,7392,77,NA
shooting_incidents,quartile_pergroup,shoot_quartile::2:post,-0.1107962213225896,0.0323835389196336,-3.4213747174931424,0.001005818064196659,7392,77,FALSE
shooting_incidents,quartile_pergroup,shoot_quartile::3:post,-0.4624456440246375,0.044584618695134116,-10.372313536800707,3.291625475907161e-16,7392,77,FALSE
shooting_incidents,quartile_pergroup,shoot_quartile::4:post,-0.8851871581789617,0.1255510088004062,-7.050418524204624,7.055111372173521e-10,7392,77,FALSE
shooting_incidents,quartile_pergroup,shoot_quartile::1:post,0,NA,NA,NA,7392,77,TRUE
robbery_count,quartile_pergroup,rob_quartile::2:post,-0.373037857802351,0.8056697262241563,-0.4630158558279538,0.6446761215691015,7392,77,FALSE
robbery_count,quartile_pergroup,rob_quartile::3:post,0.21713189857242154,0.8395560475509304,0.2586270436688738,0.7966221677655131,7392,77,FALSE
robbery_count,quartile_pergroup,rob_quartile::4:post,4.402159244264951,1.324809401513102,3.3228623221099736,0.0013723268071947248,7392,77,FALSE
robbery_count,quartile_pergroup,rob_quartile::1:post,0,NA,NA,NA,7392,77,TRUE
gun_violence_count,quartile_pergroup,gunviol_quartile::2:post,-0.2462566673094233,0.08698370711097411,-2.8310665926809513,0.005933754080563546,7392,77,FALSE
gun_violence_count,quartile_pergroup,gunviol_quartile::3:post,-1.0244842876423443,0.16601851978225865,-6.170903637654433,3.053617991647701e-8,7392,77,FALSE
gun_violence_count,quartile_pergroup,gunviol_quartile::4:post,-1.9900358182909297,0.46448081422414117,-4.284430610153496,5.3036267576289676e-5,7392,77,FALSE
gun_violence_count,quartile_pergroup,gunviol_quartile::1:post,0,NA,NA,NA,7392,77,TRUE
collision_count,quartile_pergroup,crash_quartile::2:post,-0.0686623318202351,0.03507193023946523,-1.957757424567746,0.05392952473872325,7392,77,FALSE
collision_count,quartile_pergroup,crash_quartile::3:post,-0.11302805381754097,0.039383418695910145,-2.869940131156735,0.0053143616263898645,7392,77,FALSE
collision_count,quartile_pergroup,crash_quartile::4:post,0.22373532899848014,0.0738775177177333,3.0284630007915863,0.003356485908954309,7392,77,FALSE
collision_count,quartile_pergroup,crash_quartile::1:post,0,NA,NA,NA,7392,77,TRUE
