Bin,Quarter,Period,Estimate,Std. Error,95% CI
-8,Oct–Dec 2020,Pre,-0.039,0.20972161331841072,"[-0.457, 0.379]"
-7,Jan–Mar 2021,Pre,-0.736*,0.214777986380028,"[-1.164, -0.308]"
-6,Apr–Jun 2021,Pre,0.892*,0.2641933475554269,"[0.366, 1.418]"
-5,Jul–Sep 2021,Pre,0.73*,0.28583561113856365,"[0.161, 1.3]"
-4,Oct–Dec 2021,Pre,0.056,0.2002748642431015,"[-0.342, 0.455]"
-3,Jan–Mar 2022,Pre,-0.61*,0.24972412241936193,"[-1.108, -0.113]"
-2,Apr–Jun 2022,Pre,-0.149,0.2441652524626503,"[-0.635, 0.337]"
0,Oct–Dec 2022,Post,-0.796*,0.22227591001440605,"[-1.239, -0.354]"
1,Jan–Mar 2023,Post,-1.131*,0.2066895504148107,"[-1.543, -0.719]"
2,Apr–Jun 2023,Post,-0.771*,0.24121809761689444,"[-1.252, -0.291]"
3,Jul–Sep 2023,Post,-0.592*,0.27305774186910087,"[-1.135, -0.048]"
4,Oct–Dec 2023,Post,-1*,0.20719784628058577,"[-1.413, -0.588]"
5,Jan–Mar 2024,Post,-1.092*,0.1981457832190451,"[-1.486, -0.697]"
6,Apr–Jun 2024,Post,-0.797*,0.19354088273115955,"[-1.182, -0.411]"
7,Jul–Sep 2024,Post,-0.65*,0.29063715735370915,"[-1.229, -0.071]"
8,Oct–Dec 2024,Post,-1.017*,0.24002114473976585,"[-1.495, -0.539]"
9,Jan 2025+,Post,-1.164*,0.2192624797679175,"[-1.601, -0.727]"
