Bin,Quarter,Period,Estimate,Std. Error,95% CI
-8,Oct–Dec 2020,Pre,-0.28,0.6259395348189882,"[-1.526, 0.967]"
-7,Jan–Mar 2021,Pre,-2.563*,0.5374695480111836,"[-3.634, -1.493]"
-6,Apr–Jun 2021,Pre,2.807*,0.6455060959136185,"[1.521, 4.092]"
-5,Jul–Sep 2021,Pre,1.996*,0.7075145686862511,"[0.587, 3.406]"
-4,Oct–Dec 2021,Pre,0.48,0.4739410142929328,"[-0.464, 1.424]"
-3,Jan–Mar 2022,Pre,-1.552*,0.49323606259829034,"[-2.534, -0.57]"
-2,Apr–Jun 2022,Pre,-0.776,0.4951810265897992,"[-1.762, 0.21]"
0,Oct–Dec 2022,Post,-2.631*,0.5241767609456308,"[-3.675, -1.587]"
1,Jan–Mar 2023,Post,-3.071*,0.5015740533098862,"[-4.07, -2.072]"
2,Apr–Jun 2023,Post,-2.34*,0.5529215996224667,"[-3.442, -1.239]"
3,Jul–Sep 2023,Post,-2.315*,0.5988363064999661,"[-3.508, -1.122]"
4,Oct–Dec 2023,Post,-3.202*,0.5247367079979629,"[-4.247, -2.157]"
5,Jan–Mar 2024,Post,-3.631*,0.4995107743669782,"[-4.626, -2.636]"
6,Apr–Jun 2024,Post,-2.195*,0.6251014968457921,"[-3.44, -0.95]"
7,Jul–Sep 2024,Post,-2.71*,0.62819126585576,"[-3.961, -1.459]"
8,Oct–Dec 2024,Post,-3.271*,0.6221501799974444,"[-4.51, -2.032]"
9,Jan 2025+,Post,-3.359*,0.5880460782765696,"[-4.53, -2.188]"
