Bin,Quarter,Period,Estimate,Std. Error,95% CI
-8,Oct–Dec 2020,Pre,-4.653*,1.6676863008348894,"[-7.975, -1.332]"
-7,Jan–Mar 2021,Pre,-8.067*,1.861192229208421,"[-11.774, -4.361]"
-6,Apr–Jun 2021,Pre,-5.462*,1.6261283784051348,"[-8.701, -2.223]"
-5,Jul–Sep 2021,Pre,-3.277*,1.3947389328450095,"[-6.055, -0.499]"
-4,Oct–Dec 2021,Pre,-1.243,1.1944536738740374,"[-3.622, 1.136]"
-3,Jan–Mar 2022,Pre,-4.838*,1.324230920268994,"[-7.475, -2.2]"
-2,Apr–Jun 2022,Pre,-1.13,1.0601081108968162,"[-3.241, 0.982]"
0,Oct–Dec 2022,Post,-2.266*,1.0152188617397733,"[-4.288, -0.244]"
1,Jan–Mar 2023,Post,-4.876*,1.1929999934657425,"[-7.252, -2.5]"
2,Apr–Jun 2023,Post,-3.148*,1.35090469982439,"[-5.838, -0.457]"
3,Jul–Sep 2023,Post,-1.307,1.4788143009668002,"[-4.253, 1.638]"
4,Oct–Dec 2023,Post,-0.463,1.5665980487527218,"[-3.583, 2.657]"
5,Jan–Mar 2024,Post,-4.031*,1.5717863095310871,"[-7.161, -0.9]"
6,Apr–Jun 2024,Post,-1.37,1.5476427911957067,"[-4.453, 1.712]"
7,Jul–Sep 2024,Post,-2.266,1.6463242400343308,"[-5.545, 1.013]"
8,Oct–Dec 2024,Post,-3.222*,1.6138089383241971,"[-6.436, -0.008]"
9,Jan 2025+,Post,-4.324*,1.5972173016830404,"[-7.506, -1.143]"
