Bin,Quarter,Period,Estimate,Std. Error,95% CI
-8,Oct–Dec 2020,Pre,0.008,0.04269679444215693,"[-0.077, 0.093]"
-7,Jan–Mar 2021,Pre,0.03,0.03702845507552843,"[-0.043, 0.104]"
-6,Apr–Jun 2021,Pre,-0.035,0.03671804595932978,"[-0.108, 0.038]"
-5,Jul–Sep 2021,Pre,0.03,0.04294259612650888,"[-0.055, 0.116]"
-4,Oct–Dec 2021,Pre,-0.033,0.03308874063665483,"[-0.099, 0.033]"
-3,Jan–Mar 2022,Pre,0.066,0.04549283955262002,"[-0.025, 0.156]"
-2,Apr–Jun 2022,Pre,-0.018,0.03285328430693038,"[-0.083, 0.048]"
0,Oct–Dec 2022,Post,-0.083,0.07799512791038338,"[-0.239, 0.072]"
1,Jan–Mar 2023,Post,0.088,0.06539568932806157,"[-0.042, 0.219]"
2,Apr–Jun 2023,Post,-0.045,0.09000353136903833,"[-0.225, 0.134]"
3,Jul–Sep 2023,Post,0.096,0.1136303212536361,"[-0.13, 0.322]"
4,Oct–Dec 2023,Post,0.22,0.12759992249116417,"[-0.034, 0.474]"
5,Jan–Mar 2024,Post,0.119,0.09041534043203513,"[-0.061, 0.299]"
6,Apr–Jun 2024,Post,0.114,0.13201180159093404,"[-0.149, 0.377]"
7,Jul–Sep 2024,Post,0.215*,0.09720135849462803,"[0.021, 0.408]"
8,Oct–Dec 2024,Post,0.003,0.0848759825606669,"[-0.167, 0.172]"
9,Jan 2025+,Post,-0.033,0.04010195889717564,"[-0.113, 0.047]"
