Outcome,Borough,Level Shift b2 (SE),Slope Change b3 (SE)
Gun Violence,Bronx,-37.26** [p .005] (SE = 12.81),-2.27*** [p < .001] (SE = 0.39)
Gun Violence,Brooklyn,-37.41** [p .003] (SE = 12.01),-2.31*** [p < .001] (SE = 0.35)
Gun Violence,Manhattan,-27.81*** [p < .001] (SE = 7.24),-1.41*** [p < .001] (SE = 0.19)
Gun Violence,Queens,-26.64*** [p < .001] (SE = 4.73),-1.40*** [p < .001] (SE = 0.14)
Gun Violence,Staten Island,-2.36* [p .021] (SE = 1.00),-0.20*** [p < .001] (SE = 0.04)
Pursuit Crashes,Bronx,7.28*** [p < .001] (SE = 1.73),-0.13 [p .100] (SE = 0.08)
Pursuit Crashes,Brooklyn,3.51* [p .016] (SE = 1.43),-0.03 [p .649] (SE = 0.07)
Pursuit Crashes,Manhattan,2.16* [p .014] (SE = 0.86),-0.02 [p .595] (SE = 0.03)
Pursuit Crashes,Queens,6.86* [p .021] (SE = 2.92),-0.12 [p .304] (SE = 0.11)
Pursuit Crashes,Staten Island,1.37 [p .066] (SE = 0.74),-0.02 [p .512] (SE = 0.03)
Robbery,Bronx,-7.11 [p .706] (SE = 18.78),-4.52*** [p < .001] (SE = 0.85)
Robbery,Brooklyn,-6.88 [p .731] (SE = 19.95),-1.75** [p .002] (SE = 0.55)
Robbery,Manhattan,-37.40*** [p < .001] (SE = 10.45),-4.57*** [p < .001] (SE = 0.47)
Robbery,Queens,35.74 [p .098] (SE = 21.37),-2.56*** [p < .001] (SE = 0.60)
Robbery,Staten Island,8.05*** [p < .001] (SE = 2.09),-0.04 [p .708] (SE = 0.09)
Shooting Incidents,Bronx,-12.08*** [p < .001] (SE = 3.46),-0.68*** [p < .001] (SE = 0.14)
Shooting Incidents,Brooklyn,-7.64* [p .040] (SE = 3.66),-0.72*** [p < .001] (SE = 0.10)
Shooting Incidents,Manhattan,-5.85** [p .001] (SE = 1.73),-0.51*** [p < .001] (SE = 0.06)
Shooting Incidents,Queens,-6.62** [p .001] (SE = 1.96),-0.38*** [p < .001] (SE = 0.05)
Shooting Incidents,Staten Island,-0.48 [p .297] (SE = 0.46),-0.07*** [p < .001] (SE = 0.02)
