time_index,weight,month_date
1,0.025948339186486133,2018-01-01
2,0,2018-02-01
3,0,2018-03-01
4,0,2018-04-01
5,0.13882684992324598,2018-05-01
6,0.061609390149030406,2018-06-01
7,0,2018-07-01
8,0,2018-08-01
9,0,2018-09-01
10,0,2018-10-01
11,0,2018-11-01
12,0,2018-12-01
13,0,2019-01-01
14,0.0012004256030821055,2019-02-01
15,0,2019-03-01
16,0,2019-04-01
17,0,2019-05-01
18,0,2019-06-01
19,0,2019-07-01
20,0,2019-08-01
21,0,2019-09-01
22,0,2019-10-01
23,0,2019-11-01
24,0,2019-12-01
25,0,2020-01-01
26,0,2020-02-01
27,0,2020-03-01
28,0,2020-04-01
29,0,2020-05-01
30,0,2020-06-01
31,0,2020-07-01
32,0.13211004622184022,2020-08-01
33,0,2020-09-01
34,0,2020-10-01
35,0,2020-11-01
36,0,2020-12-01
37,0.19295086233389278,2021-01-01
38,0,2021-02-01
39,0,2021-03-01
40,0,2021-04-01
41,0.06740016260935115,2021-05-01
42,0,2021-06-01
43,0.11899491819646511,2021-07-01
44,0,2021-08-01
45,0,2021-09-01
46,0,2021-10-01
47,0,2021-11-01
48,0,2021-12-01
49,0,2022-01-01
50,0.07347033545876039,2022-02-01
51,0.05784863457263118,2022-03-01
52,0,2022-04-01
53,0,2022-05-01
54,0,2022-06-01
55,0,2022-07-01
56,0,2022-08-01
57,0.12964003574521538,2022-09-01
