county,year,robbery,violent_total,index_total,property_total,murder,aggravated_assault,burglary,larceny,motor_vehicle_theft,nyc
Albany,2002,547,1706,12784,11078,10,1071,2180,8140,758,Rest of NYS
Albany,2003,436,1402,11977,10575,11,904,2068,7883,624,Rest of NYS
Albany,2004,481,1431,12710,11279,14,859,1991,8612,676,Rest of NYS
Albany,2005,511,1615,12119,10504,13,995,2044,7890,570,Rest of NYS
Albany,2006,455,1544,11932,10388,5,1013,1741,8203,444,Rest of NYS
Albany,2007,437,1468,10584,9116,5,951,1585,7104,427,Rest of NYS
Albany,2008,454,1356,10750,9394,10,819,1660,7403,331,Rest of NYS
Albany,2009,400,1289,10613,9324,12,818,1521,7451,352,Rest of NYS
Albany,2010,367,1182,11037,9855,3,751,1594,7906,355,Rest of NYS
Albany,2011,396,1166,10727,9561,7,716,1571,7739,251,Rest of NYS
Albany,2012,312,1011,9974,8963,6,626,1502,7200,261,Rest of NYS
Albany,2013,293,1005,9456,8451,9,656,1203,6998,250,Rest of NYS
Albany,2014,316,1003,9186,8183,14,627,1129,6821,233,Rest of NYS
Albany,2015,289,1041,8644,7603,6,651,940,6442,221,Rest of NYS
Albany,2016,293,1099,8770,7671,5,694,899,6556,216,Rest of NYS
Albany,2017,314,1163,8793,7630,8,725,788,6615,227,Rest of NYS
Albany,2018,258,1096,8350,7254,15,704,744,6282,228,Rest of NYS
Albany,2019,233,994,7976,6982,8,624,742,5995,245,Rest of NYS
Albany,2020,214,1099,7407,6308,17,760,717,5162,429,Rest of NYS
Albany,2021,210,1148,7903,6755,21,811,673,5583,499,Rest of NYS
Albany,2022,311,1283,9860,8577,17,822,906,6896,775,Rest of NYS
Albany,2023,305,1354,9830,8476,19,907,804,7077,595,Rest of NYS
Albany,2024,588,2602,18106,15504,32,1714,1574,13068,862,Rest of NYS
Allegany,2002,1,116,862,746,0,102,199,544,3,Rest of NYS
Allegany,2003,4,100,846,746,1,83,178,549,19,Rest of NYS
Allegany,2004,2,97,943,846,0,76,202,613,31,Rest of NYS
Allegany,2005,5,134,1069,935,0,92,234,680,21,Rest of NYS
Allegany,2006,3,119,839,720,2,101,149,555,16,Rest of NYS
Allegany,2007,2,86,710,624,1,73,195,413,16,Rest of NYS
Allegany,2008,4,91,651,560,0,77,174,368,18,Rest of NYS
Allegany,2009,4,129,775,646,0,80,203,426,17,Rest of NYS
Allegany,2010,6,89,841,752,0,72,161,577,14,Rest of NYS
Allegany,2011,4,64,895,831,0,47,190,621,20,Rest of NYS
Allegany,2012,2,65,859,794,2,52,211,564,19,Rest of NYS
Allegany,2013,4,54,796,742,0,41,194,534,14,Rest of NYS
Allegany,2014,3,56,554,498,2,45,131,352,15,Rest of NYS
Allegany,2015,0,57,579,522,0,29,95,412,15,Rest of NYS
Allegany,2016,0,81,572,491,0,45,121,348,22,Rest of NYS
Allegany,2017,3,80,506,426,2,41,80,332,14,Rest of NYS
Allegany,2018,4,75,458,383,1,41,86,284,13,Rest of NYS
