month_date,give_shootings,nyc_shootings
2006-04-01,63,113
2006-05-01,83,134
2006-06-01,91,146
2006-07-01,111,169
2006-08-01,94,177
2006-09-01,85,152
2006-10-01,80,150
2006-11-01,60,121
2006-12-01,54,132
2007-01-01,58,90
2007-02-01,42,62
2007-03-01,48,72
2007-04-01,53,99
2007-05-01,63,162
2007-06-01,96,158
2007-07-01,94,164
2007-08-01,93,161
2007-09-01,83,132
2007-10-01,63,148
2007-11-01,58,99
2007-12-01,57,95
2008-01-01,50,99
2008-02-01,35,64
2008-03-01,68,100
2008-04-01,61,121
2008-05-01,76,151
2008-06-01,89,151
2008-07-01,103,172
2008-08-01,84,167
2008-09-01,81,151
2008-10-01,84,117
2008-11-01,81,101
2008-12-01,69,126
2009-01-01,55,79
2009-02-01,34,75
2009-03-01,49,86
2009-04-01,76,115
2009-05-01,69,129
2009-06-01,81,149
2009-07-01,94,173
2009-08-01,108,170
2009-09-01,60,116
2009-10-01,73,109
2009-11-01,58,122
2009-12-01,69,97
2010-01-01,84,86
2010-02-01,44,83
2010-03-01,72,106
2010-04-01,61,120
2010-05-01,62,121
2010-06-01,97,158
2010-07-01,94,168
2010-08-01,87,163
2010-09-01,72,143
2010-10-01,72,109
2010-11-01,54,108
2010-12-01,52,108
2011-01-01,38,83
2011-02-01,24,77
2011-03-01,57,77
2011-04-01,58,109
2011-05-01,72,131
2011-06-01,71,126
2011-07-01,94,174
2011-08-01,72,179
2011-09-01,78,168
2011-10-01,77,155
2011-11-01,74,111
2011-12-01,82,119
2012-01-01,68,91
2012-02-01,31,83
2012-03-01,58,104
2012-04-01,53,98
2012-05-01,87,140
2012-06-01,67,147
2012-07-01,77,188
2012-08-01,105,135
2012-09-01,81,125
2012-10-01,70,90
2012-11-01,57,87
2012-12-01,61,85
2013-01-01,67,93
2013-02-01,40,50
2013-03-01,39,67
2013-04-01,43,79
2013-05-01,70,78
2013-06-01,70,119
2013-07-01,75,112
2013-08-01,89,136
2013-09-01,76,107
2013-10-01,57,101
2013-11-01,64,82
2013-12-01,68,79
2014-01-01,49,77
2014-02-01,42,45
2014-03-01,43,82
2014-04-01,56,87
2014-05-01,83,112
2014-06-01,98,121
2014-07-01,78,134
2014-08-01,82,135
2014-09-01,65,96
2014-10-01,80,93
2014-11-01,53,89
2014-12-01,85,101
2015-01-01,45,90
2015-02-01,37,59
2015-03-01,41,69
2015-04-01,63,87
2015-05-01,77,132
2015-06-01,81,108
2015-07-01,97,117
2015-08-01,96,122
2015-09-01,88,98
2015-10-01,72,81
2015-11-01,81,80
2015-12-01,77,95
2016-01-01,74,59
2016-02-01,43,61
2016-03-01,77,67
2016-04-01,73,67
2016-05-01,88,86
2016-06-01,87,94
2016-07-01,104,97
2016-08-01,105,145
2016-09-01,68,108
2016-10-01,70,84
2016-11-01,67,65
2016-12-01,50,64
2017-01-01,75,58
2017-02-01,50,40
2017-03-01,45,48
2017-04-01,55,68
2017-05-01,62,67
2017-06-01,69,79
2017-07-01,83,79
2017-08-01,83,83
2017-09-01,73,79
2017-10-01,77,73
2017-11-01,48,48
2017-12-01,47,67
2018-01-01,30,59
2018-02-01,36,36
2018-03-01,32,46
2018-04-01,54,49
2018-05-01,57,77
2018-06-01,81,70
2018-07-01,98,89
2018-08-01,69,76
2018-09-01,69,71
2018-10-01,68,68
2018-11-01,54,55
2018-12-01,61,58
2019-01-01,47,52
2019-02-01,30,42
2019-03-01,43,56
2019-04-01,37,62
2019-05-01,61,61
2019-06-01,77,89
2019-07-01,81,88
2019-08-01,49,91
2019-09-01,56,67
2019-10-01,74,62
2019-11-01,59,51
2019-12-01,65,56
2020-01-01,53,66
2020-02-01,42,45
2020-03-01,54,56
2020-04-01,64,56
2020-05-01,92,100
2020-06-01,155,205
2020-07-01,158,243
2020-08-01,147,241
2020-09-01,112,150
2020-10-01,114,135
2020-11-01,102,115
2020-12-01,92,119
2021-01-01,74,76
2021-02-01,55,77
2021-03-01,89,99
2021-04-01,91,148
2021-05-01,122,172
2021-06-01,134,165
2021-07-01,150,157
2021-08-01,125,165
2021-09-01,119,135
2021-10-01,108,128
2021-11-01,94,119
2021-12-01,69,121
2022-01-01,68,99
2022-02-01,71,75
2022-03-01,69,115
2022-04-01,90,105
2022-05-01,109,117
2022-06-01,114,125
2022-07-01,115,175
2022-08-01,119,115
2022-09-01,96,117
2022-10-01,81,86
2022-11-01,60,80
2022-12-01,53,85
2023-01-01,50,74
2023-02-01,37,63
2023-03-01,47,85
2023-04-01,60,71
2023-05-01,98,85
2023-06-01,84,104
2023-07-01,107,113
2023-08-01,79,87
2023-09-01,66,77
2023-10-01,58,78
2023-11-01,50,65
2023-12-01,59,72
2024-01-01,38,65
2024-02-01,34,53
2024-03-01,35,64
2024-04-01,42,60
2024-05-01,61,88
2024-06-01,61,107
2024-07-01,70,91
2024-08-01,63,74
2024-09-01,59,91
2024-10-01,47,82
2024-11-01,31,68
2024-12-01,29,61
2025-01-01,35,50
2025-02-01,26,42
2025-03-01,40,47
2025-04-01,39,70
2025-05-01,40,53
2025-06-01,60,75
2025-07-01,57,75
2025-08-01,51,77
2025-09-01,32,64
2025-10-01,39,0
