month_date,give_total,nyc_shootings,rest_of_state
2016-01-01,74,59,15
2016-02-01,43,61,0
2016-03-01,77,67,10
2016-04-01,73,67,6
2016-05-01,88,86,2
2016-06-01,87,94,0
2016-07-01,104,97,7
2016-08-01,105,145,0
2016-09-01,68,108,0
2016-10-01,70,84,0
2016-11-01,67,65,2
2016-12-01,50,64,0
2017-01-01,75,58,17
2017-02-01,50,40,10
2017-03-01,45,48,0
2017-04-01,55,68,0
2017-05-01,62,67,0
2017-06-01,69,79,0
2017-07-01,83,79,4
2017-08-01,83,83,0
2017-09-01,73,79,0
2017-10-01,77,73,4
2017-11-01,48,48,0
2017-12-01,47,67,0
2018-01-01,30,59,0
2018-02-01,36,36,0
2018-03-01,32,46,0
2018-04-01,54,49,5
2018-05-01,57,77,0
2018-06-01,81,70,11
2018-07-01,98,89,9
2018-08-01,69,76,0
2018-09-01,69,71,0
2018-10-01,68,68,0
2018-11-01,54,55,0
2018-12-01,61,58,3
2019-01-01,47,52,0
2019-02-01,30,42,0
2019-03-01,43,56,0
2019-04-01,37,62,0
2019-05-01,61,61,0
2019-06-01,77,89,0
2019-07-01,81,88,0
2019-08-01,49,91,0
2019-09-01,56,67,0
2019-10-01,74,62,12
2019-11-01,59,51,8
2019-12-01,65,56,9
2020-01-01,53,66,0
2020-02-01,42,45,0
2020-03-01,54,56,0
2020-04-01,64,56,8
2020-05-01,92,100,0
2020-06-01,155,205,0
2020-07-01,158,243,0
2020-08-01,147,241,0
2020-09-01,112,150,0
2020-10-01,114,135,0
2020-11-01,102,115,0
2020-12-01,92,119,0
2021-01-01,74,76,0
2021-02-01,55,77,0
2021-03-01,89,99,0
2021-04-01,91,148,0
2021-05-01,122,172,0
2021-06-01,134,165,0
2021-07-01,150,157,0
2021-08-01,125,165,0
2021-09-01,119,135,0
2021-10-01,108,128,0
2021-11-01,94,119,0
2021-12-01,69,121,0
2022-01-01,68,99,0
2022-02-01,71,75,0
2022-03-01,69,115,0
2022-04-01,90,105,0
2022-05-01,109,117,0
2022-06-01,114,125,0
2022-07-01,115,175,0
2022-08-01,119,115,4
2022-09-01,96,117,0
2022-10-01,81,86,0
2022-11-01,60,80,0
2022-12-01,53,85,0
2023-01-01,50,74,0
2023-02-01,37,63,0
2023-03-01,47,85,0
2023-04-01,60,71,0
2023-05-01,98,85,13
2023-06-01,84,104,0
2023-07-01,107,113,0
2023-08-01,79,87,0
2023-09-01,66,77,0
2023-10-01,58,78,0
2023-11-01,50,65,0
2023-12-01,59,72,0
2024-01-01,38,65,0
2024-02-01,34,53,0
2024-03-01,35,64,0
2024-04-01,42,60,0
2024-05-01,61,88,0
2024-06-01,61,107,0
2024-07-01,70,91,0
2024-08-01,63,74,0
2024-09-01,59,91,0
2024-10-01,47,82,0
2024-11-01,31,68,0
2024-12-01,29,61,0
2025-01-01,35,50,0
2025-02-01,26,42,0
2025-03-01,40,47,0
2025-04-01,39,70,0
2025-05-01,40,53,0
2025-06-01,60,75,0
2025-07-01,57,75,0
2025-08-01,51,77,0
2025-09-01,32,64,0
2025-10-01,39,0,39
