month_date,pursuit_events,pursuit_crashes,robbery_count,shooting_incidents,shots_fired_incidents,total_gun_events,year,month
2018-01-01,5,2,1154,59,81,140,2018,1
2018-02-01,7,8,938,36,71,107,2018,2
2018-03-01,3,3,936,46,69,115,2018,3
2018-04-01,2,3,912,49,105,154,2018,4
2018-05-01,5,8,1188,77,133,210,2018,5
2018-06-01,0,3,1104,70,142,212,2018,6
2018-07-01,5,4,1114,89,132,221,2018,7
2018-08-01,11,8,1142,76,128,204,2018,8
2018-09-01,3,8,1158,71,99,170,2018,9
2018-10-01,7,5,1175,68,115,183,2018,10
2018-11-01,6,3,1063,55,93,148,2018,11
2018-12-01,7,3,1081,58,95,153,2018,12
2019-01-01,5,7,940,52,100,152,2019,1
2019-02-01,5,6,894,42,81,123,2019,2
2019-03-01,7,6,894,56,125,181,2019,3
2019-04-01,4,5,912,62,122,184,2019,4
2019-05-01,2,7,1089,61,139,200,2019,5
2019-06-01,6,3,1153,89,160,249,2019,6
2019-07-01,9,9,1193,88,164,252,2019,7
2019-08-01,11,7,1240,91,177,268,2019,8
2019-09-01,3,5,1341,67,143,210,2019,9
2019-10-01,4,6,1379,62,144,206,2019,10
2019-11-01,5,8,1169,51,92,143,2019,11
2019-12-01,3,4,1230,56,100,156,2019,12
2020-01-01,5,11,1309,66,133,199,2020,1
2020-02-01,8,5,1211,45,95,140,2020,2
2020-03-01,7,6,950,56,140,196,2020,3
2020-04-01,5,6,698,56,143,199,2020,4
2020-05-01,8,5,812,100,180,280,2020,5
2020-06-01,5,6,981,205,338,543,2020,6
2020-07-01,6,3,1151,243,403,646,2020,7
2020-08-01,4,4,1307,241,465,706,2020,8
2020-09-01,8,2,1185,150,292,442,2020,9
2020-10-01,11,5,1251,135,294,429,2020,10
2020-11-01,24,8,1158,116,255,371,2020,11
2020-12-01,8,8,1174,119,209,328,2020,12
2021-01-01,10,5,937,76,179,255,2021,1
2021-02-01,3,6,818,77,146,223,2021,2
2021-03-01,11,6,849,99,221,320,2021,3
2021-04-01,7,1,903,148,329,477,2021,4
2021-05-01,8,6,1191,172,394,566,2021,5
2021-06-01,7,8,1135,165,348,513,2021,6
2021-07-01,13,7,1274,157,325,482,2021,7
2021-08-01,7,5,1168,165,335,500,2021,8
2021-09-01,13,6,1298,136,329,465,2021,9
2021-10-01,16,4,1482,128,315,443,2021,10
2021-11-01,6,3,1419,119,297,416,2021,11
2021-12-01,8,5,1387,120,248,368,2021,12
2022-01-01,15,5,1275,99,233,332,2022,1
2022-02-01,19,12,1299,75,200,275,2022,2
2022-03-01,11,8,1263,115,245,360,2022,3
2022-04-01,12,5,1276,105,256,361,2022,4
2022-05-01,13,3,1512,117,283,400,2022,5
2022-06-01,7,7,1572,125,265,390,2022,6
2022-07-01,8,5,1754,175,333,508,2022,7
2022-08-01,6,4,1659,115,292,407,2022,8
2022-09-01,15,3,1529,117,226,343,2022,9
2022-10-01,22,5,1499,86,200,286,2022,10
2022-11-01,32,16,1516,80,188,268,2022,11
2022-12-01,54,11,1285,85,147,232,2022,12
2023-01-01,133,18,1350,74,207,281,2023,1
2023-02-01,94,8,1179,63,172,235,2023,2
2023-03-01,77,16,1265,85,170,255,2023,3
2023-04-01,95,16,1239,71,225,296,2023,4
2023-05-01,129,28,1358,85,160,245,2023,5
2023-06-01,97,21,1460,104,171,275,2023,6
2023-07-01,146,27,1536,113,200,313,2023,7
2023-08-01,146,49,1575,87,187,274,2023,8
2023-09-01,118,32,1445,77,157,234,2023,9
2023-10-01,195,24,1565,78,186,264,2023,10
2023-11-01,183,32,1384,65,125,190,2023,11
2023-12-01,179,47,1566,72,175,247,2023,12
2024-01-01,227,44,1429,65,161,226,2024,1
2024-02-01,208,40,1252,53,100,153,2024,2
2024-03-01,163,34,1297,64,149,213,2024,3
2024-04-01,166,33,1344,60,170,230,2024,4
2024-05-01,164,34,1477,88,211,299,2024,5
2024-06-01,144,53,1446,107,197,304,2024,6
2024-07-01,137,39,1512,91,189,280,2024,7
2024-08-01,167,33,1494,74,180,254,2024,8
2024-09-01,147,35,1371,91,170,261,2024,9
2024-10-01,159,26,1482,82,187,269,2024,10
2024-11-01,132,29,1313,68,151,219,2024,11
2024-12-01,116,21,1152,61,148,209,2024,12
2025-01-01,117,15,1107,50,141,191,2025,1
2025-02-01,30,11,968,42,127,169,2025,2
2025-03-01,56,12,1104,47,169,216,2025,3
2025-04-01,29,11,1226,70,166,236,2025,4
2025-05-01,31,9,1442,53,193,246,2025,5
2025-06-01,37,8,1396,75,177,252,2025,6
2025-07-01,50,5,1443,75,184,259,2025,7
2025-08-01,37,7,1407,77,188,265,2025,8
2025-09-01,37,11,1359,64,158,222,2025,9
2025-10-01,27,8,1356,45,138,183,2025,10
2025-11-01,22,4,1195,55,139,194,2025,11
2025-12-01,19,3,1045,35,38,73,2025,12
