year,quarter,qtr_label,n
2018,1,2018 Q1,30
2018,2,2018 Q2,11
2018,3,2018 Q3,38
2018,4,2018 Q4,34
2019,1,2019 Q1,31
2019,2,2019 Q2,24
2019,3,2019 Q3,39
2019,4,2019 Q4,22
2020,1,2020 Q1,33
2020,2,2020 Q2,30
2020,3,2020 Q3,29
2020,4,2020 Q4,75
2021,1,2021 Q1,46
2021,2,2021 Q2,43
2021,3,2021 Q3,62
2021,4,2021 Q4,51
2022,1,2022 Q1,87
2022,2,2022 Q2,57
2022,3,2022 Q3,55
2022,4,2022 Q4,200
2023,1,2023 Q1,529
2023,2,2023 Q2,597
2023,3,2023 Q3,821
2023,4,2023 Q4,1089
2024,1,2024 Q1,1174
2024,2,2024 Q2,890
2024,3,2024 Q3,871
2024,4,2024 Q4,813
2025,1,2025 Q1,386
2025,2,2025 Q2,188
2025,3,2025 Q3,230
2025,4,2025 Q4,125
