nyc,year,robbery,violent_total,index_total
NYC,2015,16946,50088,179948
NYC,2016,15544,49124,174402
NYC,2017,13995,46433,171248
NYC,2018,12962,46113,174164
NYC,2019,13396,47821,170120
NYC,2020,13182,47959,177319
NYC,2021,13909,53364,186505
NYC,2022,17433,61293,237654
NYC,2023,16621,56006,248237
NYC,2024,16554,58116,246748
Rest of NYS,2002,9661,30551,287214
Rest of NYS,2003,9765,29792,282069
Rest of NYS,2004,8952,28403,271649
Rest of NYS,2005,10268,30836,270994
Rest of NYS,2006,10869,31714,272168
Rest of NYS,2007,9245,29342,260749
Rest of NYS,2008,9551,28972,265636
Rest of NYS,2009,9458,28447,261264
Rest of NYS,2010,8799,27344,262327
Rest of NYS,2011,8575,26251,257074
Rest of NYS,2012,8339,26217,255231
Rest of NYS,2013,8006,24062,237795
Rest of NYS,2014,7407,22894,224466
Rest of NYS,2015,6927,25060,210906
Rest of NYS,2016,6742,25003,203591
Rest of NYS,2017,6044,24205,190855
Rest of NYS,2018,5232,22470,174961
Rest of NYS,2019,4672,22045,165921
Rest of NYS,2020,4331,22676,166297
Rest of NYS,2021,4171,23202,159272
Rest of NYS,2022,4564,23693,184775
Rest of NYS,2023,4398,22948,192162
Rest of NYS,2024,7918,44566,357172
